district,name,abbreviated_name,address,chief,phone,fax,email,mo,inn,ogrn,note
Колпинский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 258 с углубленным изучением физики и химии Колпинского района Санкт-Петербурга,ГБОУ школа № 258  Санкт-Петербурга,"196650, Санкт-Петербург, г. Колпино, Павловская ул., д. 80, литера А",Некрасова Светлана Борисовна,4173430,4173432,school258@spb.edu.ru,ВМО Колпино,7817027098,1027808757899 06.12.2002,
Колпинский,Государственное бюджетное общеобразовательное учреждение лицей № 273 имени Л.Ю.Гладышевой Колпинского района Санкт-Петербурга,ГБОУ лицей № 273 Санкт-Петербурга,"Санкт-Петербург, посёлок Металлострой, Плановая улица, дом 14, литера А",Сарксян Татьяна Геннадьевна,4172664,4172664,liceum273@spb.edu.ru,ВМО Металлострой,7817027267,1027808757613 06.12.2002,
Колпинский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа  № 400 имени Александра Невского Колпинского района Санкт-Петербурга,ГБОУ школа № 400 имени Александра Невского                   Санкт-Петербурга,"Санкт-Петербург, посёлок Понтонный, Волховстроевская улица, дом 14, литера А",Труфанова Наталья Анатольевна,4622117,462217,school400@spb.edu.ru,ВМО Понтонный,7817034955,1027808757602 06.12.2002,
Колпинский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №  401 Колпинского района Санкт-Петербурга,ГБОУ школа № 401 Санкт-Петербурга,"Санкт-Петербург, город Колпино, бульвар Трудящихся, дом 10, литера А",Язневич Светлана Николаевна,4810822,4810822,school401@spb.edu.ru,ВМО Колпино,7817026707,1027808757371 06.12.2002,
Колпинский,Государственное бюджетное общеобразовательное учреждение гимназия № 402 Колпинского района Санкт-Петербурга,ГБОУ гимназия № 402 Санкт-Петербурга,"196655, Санкт-Петербург, г. Колпино, Тверская ул., д. 18",Довга Галина Вячеславовна,4694259,4694259,gymn402@spb.edu.ru,ВМО Колпино,7817033567,1027808758603 10.12.2002,
Колпинский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 404 Колпинского района Санкт-Петербурга,ГБОУ школа № 404  Санкт-Петербурга,"196657, Санкт-Петербург, г. Колпино, Раумская ул., д. 9, литер. А",Оводова Елена Геннадьевна,5739397,5739397,school404@mail.ru,ВМО Колпино,7817026640,1027808758372 10.12.2002,
Колпинский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 420 Колпинского района Санкт-Петербурга,ГБОУ школа № 420  Санкт-Петербурга,"196653, Санкт-Петербург, г. Колпино, ул. Вавилова, д. 9, литер. А",Стуканов Игорь Александрович,4694072,4694072,school420@spb.edu.ru,ВМО Колпино,7817026993,1027808757393 06.12.2002,
Колпинский,Государственное бюджетное общеобразовательное учреждение школа № 432 Колпинского района Санкт-Петербурга,ГБОУ  школа № 432 Колпинского района  Санкт-Петербурга,"196650, Санкт-Петербург, г. Колпино, Павловская ул., д. 21",Александрова Елена Анатольевна,5739751,5739752,school432_spb@mail.ru,ВМО Колпино,7817033743,1027808757932 06.12.2002,
Колпинский,Государственное бюджетное общеобразовательное учреждение гимназия № 446 Колпинского района Санкт-Петербурга,ГБОУ гимназия № 446 Санкт-Петербурга,"196657, Санкт-Петербург, г. Колпино, Заводской пр., д. 18, корпус 2, литера А",Лев Игорь Альбертович,5739640,5739640,gym446@spb.edu.ru,ВМО Колпино,7817033510,1027808757250 05.12.2002,
Колпинский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 451 Колпинского района Санкт-Петербурга,ГБОУ школа № 451 Санкт-Петербурга,"Санкт-Петербург, посёлок Металлострой, Пушкинская улица, дом 8а, литера А",Ильина Мария Сергеевна,5739713,5739713,school451@spb.edu.ru,ВМО Металлострой,7817026658,1027808757866 06.12.2002,
