"ОГРН","Полное наименование ОУ по Уставу","Краткое наименование","Адрес ОУ","Должность руководителя","ФИО руководителя","Тип ОУ","Вид ОУ","Телефон","Подведомственность","Район","Адрес сайта","email","Количество групп"
"1027810346739","Государственное бюджетное общеобразовательное учреждение школа-интернат № 2 Адмиралтейского района Санкт-Петербурга","ГБС(К) ОУ инт №2","Санкт-Петербург г, Старо-Петергофский пр-кт, 33, Б, 190020","Директор","Черных Марина Геннадьевна","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа-интернат","8-812-252-04-56","Адмиралтейский","Адмиралтейский","","schoolTnr2@mail.ru","0"
"1027801583204","Государственное бюджетное общеобразовательное учреждение школа-интернат №1 Выборгского района Санкт-Петербурга","ГБОУ школа-интернат №001","Санкт-Петербург г, Энгельса пр-кт, 4, 194156","Директор","Крутицкая Наталья Михайловна","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа-интернат","8-812-294-04-01","Выборгский","Выборгский","","001@shko.la","0"
"1027801583226","Государственное бюджетное общеобразовательное учреждение школа-интернат №33 Выборгского района Санкт-Петербурга","ГБОУ школа-интернат №033","Санкт-Петербург г, Муринский 2-й пр-кт, 24, 194223","Исполняющий обязанности директора","Пинка Елена Анатольевна","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа-интернат","8-812-241-25-44","Выборгский","Выборгский","","033@shko.la","0"
"1027802496480","Государственное бюджетное общеобразовательное учреждение школа-интернат №9 Калининского района Санкт-Петербурга","ГБОУ школа-интернат №9","Санкт-Петербург г, Старцева ул, 7, А, 195220","Директор","Матюхина Елена Владимировна","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа-интернат","8-812-417-64-71","Калининский","Калининский",""," dou9spb@yandex.ru","0"
"1027802738413","Государственное бюджетное общеобразовательное учреждение школа-интернат № 2 Кировского района Санкт-Петербурга","ГБОУ школа-интернат №2","Санкт-Петербург г, Трамвайный пр-кт, 24, А, 198216","Исполняющий обязанности директора","Бейнарович Константин Константинович","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа-интернат","8-812-377-21-29","Кировский","Кировский","","int002@kirov.spb.ru","0"
"1027808757855","Государственное бюджетное общеобразовательное учреждение школа-интернат № 10 Колпинского района Санкт-Петербурга","ГБОУ школа-инт №10","Санкт-Петербург г, Южная ул, 29 лит. А, 196643","Директор","Кутузова Екатерина Борисовна","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа-интернат","8-812-417-52-50","Колпинский","Колпинский","","scint10@spb.edu.ru","0"
"1027804187850","Государственное бюджетное общеобразовательное учреждение школа-интернат № 6 Красногвардейского района Санкт-Петербурга","ГБОУ школа-интернат №6","Санкт-Петербург г, Большая Пороховская ул, 52, А, 1, 195248","Директор","Путилова Валентина Андреевна","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа-интернат","7-812-417-25-71","Красногвардейский","Красногвардейский","","int62008@yandex.ru","0"
"1027804177037","Государственное бюджетное общеобразовательное учреждение школа-интернат № 1 имени К.К.Грота Красногвардейского района Санкт-Петербурга","ГБОУ школа-инт. №1","Санкт-Петербург г, Шаумяна пр-кт, 44, А, 195213","Директор","Мухин Алексей Викторович","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа-интернат","8-812-444-39-56","Красногвардейский","Красногвардейский","","grot-school@mail.ru","0"
"1027806076033","Государственное бюджетное общеобразовательное учреждение школа-интернат №22 Невского района Санкт-Петербурга.","ГБОУ Ш-И №22","Санкт-Петербург г, Чернова ул, 13, А, 192012","Директор","Иванова Ирина Юрьевна","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа-интернат","8-812-417-55-54","Невский","Невский","www.internat22.ru","internat-22@yandex.ru","0"
"1037828000980","Государственное бюджетное общеобразовательное учреждение школа-интернат № 20 Петроградского района Санкт-Петербурга","ГБОУШИ №20","Санкт-Петербург г, Песочная наб, 14, Б,В, 197022","Директор","Манаскурт Татьяна Юрьевна","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа-интернат","8-812-234-61-73","Петроградский","Петроградский","http://int.20ru/","www.school20@bk.ru","0"
"1027808913384","Государственное бюджетное общеобразовательное учреждение школа-интернат № 49 Петродворцового района Санкт-Петербурга «Школа здоровья»","ГБОУ школа-интернат №49","Санкт-Петербург г, Санкт-Петербургское ш, 77, 198515","Директор","Поленина Татьяна Михайловна","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа-интернат","8-812-421-42-79","Петродворцовый","Петродворцовый","","int49@spb.edu.ru","0"
"1027809009997","Государственное бюджетное общеобразовательное учреждение школа-интернат № 8 Пушкинского района Санкт-Петербурга","ГБОУ школа-интернат №8","Санкт-Петербург г, Павловск г, Мичурина пер, 19, А, 196620","Директор","Смирнова Валентина Петровна","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа-интернат","8-812-417-28-32","Пушкинский","Пушкинский","","8internat@gmail.com","0"
"1027809009161","Государственное бюджетное общеобразовательное учреждение школа-интернат № 16 Пушкинского района Санкт-Петербурга","ГБОУ СКОШ-инт №16","Санкт-Петербург г, Пушкин г, Пушкинская ул, 49, А, 196601","Директор","Станпакова Светлана Дмитриевна","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа-интернат","8-812-417-60-55","Пушкинский","Пушкинский","","shkola-internat16@yandex.ru","3"
"1027807997722","Государственное бюджетное общеобразовательное учреждение школа-интернат №37 Фрунзенского района Санкт-Петербурга","ГБСКОУ №37","Санкт-Петербург г, Турку ул, 16, А, 192238","Директор","Полякова Зинаида Борисовна","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа-интернат","8-812-417-60-58","Фрунзенский","Фрунзенский","","int037@petersburgedu.ru","0"
"1027806075769","Государственное бюджетное общеобразовательное учреждение школа-интернат № 31 Невского района Санкт-Петербурга","ГБОУ Ш-И №31","Санкт-Петербург г, Елизарова пр-кт, 7, А, а, 192029","Директор","Ганихин Алексей Владимирович","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа-интернат","8-812-417-21-00","Невский","Невский",""," sc_31_nr@mail.ru","0"
"1027806082391","Государственное бюджетное общеобразовательное учреждение школа-интернат №18 Невского района Санкт-Петербурга","ГБОУ Ш-И №18","Санкт-Петербург г, Шелгунова ул, 5, А, а, 192174","Директор","Котелевец Виктор Анатольевич","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа-интернат","8-812-362-06-87","Невский","Невский","http://www.18.internat.ru","internat_18@mail.ru","0"
