"ОГРН","Полное наименование ОУ по Уставу","Краткое наименование","Адрес ОУ","Должность руководителя","ФИО руководителя","Тип ОУ","Вид ОУ","Телефон","Подведомственность","Район","Адрес сайта","email","Количество групп"
"1027810344760","Государственное бюджетное общеобразовательное учреждение школа №616 Адмиралтейского района Санкт-Петербурга ""Центр абилитации с индивидуальными формами обучения ""Динамика""","ГБОУ ""Центр ""Динамика""","Санкт-Петербург г, Курляндская ул, 29, А, 190020","Директор","Поршнева Сания Эльмаровна","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа","8-812-251-28-97","Адмиралтейский","Адмиралтейский","","school616@spb.edu.ru","0"
"1027810303960","Государственное бюджетное общеобразовательное учреждение школа № 231 Адмиралтейского района Санкт - Петербурга","ГБОУ №231","Санкт-Петербург г, Витебская ул, 7, А, 190121","Директор","Иванова Ольга Викторовна","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа","8-812-417-23-28","Адмиралтейский","Адмиралтейский","","school231@spb.edu.ru","0"
"1027810287999","Государственное бюджетное общеобразовательное учреждение школа № 522 Адмиралтейского района Санкт-Петербурга","ГБОУ школа №522","Санкт-Петербург г, Малодетскосельский пр-кт, 17-1934, А, 190013","Директор","Елизарова Юлия Геннадьевна","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа","8-812-573-96-46","Адмиралтейский","Адмиралтейский","","school522@spb.edu.ru","0"
"1027810298988","Государственное бюджетное общеобразовательное учреждение школа № 5 Адмиралтейского района Санкт-Петербурга","ГБОУ № 5","Санкт-Петербург г, Батайский пер, 6-8, А, 190013","Директор","Львовская Наталия Николаевна","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа","8-812-417-22-05","Адмиралтейский","Адмиралтейский","","school5@spb.edu.ru","0"
"1037800060770","Государственное бюджетное общеобразовательное учреждение школа № 4 Василеостровского района Санкт - Петербурга","ГБСОУ №4","Санкт-Петербург г, Средний пр-кт, 80, А, 199106","Директор","Командирова Лидия Александровна","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа","8-812-321-36-73","Василеостровский","Василеостровский","4-kor.ru","speckor4@spb.edu.ru","0"
"1167847307176","Государственное бюджетное общеобразовательное учреждение школа № 755 ""Региональный Центр аутизма"" Василеостровского района Санкт-Петербурга","ГБОУ школа №755","Санкт-Петербург г, 7-я В.О. линия, 66, А, 199004","Директор","Демьянчук Лариса Николаевна","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа","8-812-241-32-02","Василеостровский","Василеостровский","","school028@yandex.ru","3"
"1027801583017","Государственное бюджетное общеобразовательное учреждение школа №487 Выборгского района Санкт-Петербурга","ГБОУ №487","Санкт-Петербург г, Композиторов ул, 22, А, 3, 194355","Директор","Кассихина Юлия Николаевна","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа","8-812-514-49-63","Выборгский","Выборгский","","487@shko.la","0"
"1037804019340","Государственное бюджетное общеобразовательное учреждение школа № 584 ""Озерки"" Выборгского района Санкт-Петербурга","ГБОУ школа №584 ""Озерки""","Санкт-Петербург г, Руднева ул, 8, А, 3, 194291","Директор","Супонина Людмила Геннадьевна","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа","8-812-417-59-81","Выборгский","Выборгский","cor584.petersburgedu.ru","584@shko.la","0"
"1027801541602","Государственное бюджетное общеобразовательное учреждение школа № 6 Выборгского района Санкт-Петербурга","ГБОУ №006","Санкт-Петербург г, Дрезденская ул, 13, 194017","Директор","Наумова Алла Евменьевна","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа","8-812-417-51-05","Выборгский","Выборгский","www.06spb.edusite.ru","006@shko.la","0"
"1037843093991","Государственное бюджетное общеобразовательное учреждение школа №10 Калининского района Санкт-Петербурга","ГБОУ №10","Санкт-Петербург г, Жукова ул, 11, Б, 195197","Директор","Зеленкова Елена Олеговна","Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии","Специальная (коррекционная) общеобразовательная школа","8-812-540-01-52","Калининский","Калининский","","schsluh10@mail.ru","0"
