"ОГРН","Полное наименование ОУ по Уставу","Краткое наименование","Адрес ОУ","Должность руководителя","ФИО руководителя","Тип ОУ","Вид ОУ","Телефон","Подведомственность","Район","Адрес сайта","email","Количество групп"
"1027810332593","Государственное бюджетное общеобразовательное учреждение Лицей № 281 Адмиралтейского района Санкт-Петербурга","ГБОУ Лицей №281","Санкт-Петербург г, Советский пер, 4, А, 190005","Директор","Чернигова Елена Вениаминовна","Общеобразовательные учреждения","Лицей","8-812-316-17-01","Адмиралтейский","Адмиралтейский","www.school281.spb.ru","school281@spb.edu.ru","0"
"1037800033798","федеральное государственное бюджетное общеобразовательное учреждение ""Санкт-Петербургский государственный академический художественный лицей им. Б.В. Иогансона при Российской академии художеств""","ФГБОУ ""СПГАХЛ им. Б.В. Иогансона при РАХ""","Санкт-Петербург г, Детская ул, 17, 1, 199106","Исполняющий обязанности директора","Мищенко Татьяна Александровна","Общеобразовательные учреждения","Лицей","8-812-322-03-81","Василеостровский","Василеостровский","www.аrtlicei.ru","lycART@petersburgedu.ru","0"
"1027801583611","Государственное бюджетное общеобразовательное учреждение лицей № 101 Выборгского района Санкт-Петербурга","ГБОУ лицей №101","Санкт-Петербург г, Сикейроса ул, 17, А, 1, 194354","Директор","Шевченко Инга Станиславовна","Общеобразовательные учреждения","Лицей","8-812-417-53-03","Выборгский","Выборгский","http://101.shko.la","101@shko.la","0"
"1027801583006","Государственное бюджетное общеобразовательное учреждение лицей №486 Выборгского района Санкт-Петербурга","ГБОУ лицей №486","Санкт-Петербург г, Композиторов ул, 11, А, 2, 194355","Директор","Васильева Юлия Владимировна","Общеобразовательные учреждения","Лицей","8-812-592-11-48","Выборгский","Выборгский","","school486-spb@mail.ru, 486@shko.la","0"
"1027801583820","Государственное бюджетное общеобразовательное учреждение лицей № 488 Выборгского района Санкт -Петербурга","ГБОУ лицей №488","Санкт-Петербург г, Просвещения пр-кт, 32, А, 4, 194358","Директор","Осеннова Наталья Юрьевна","Общеобразовательные учреждения","Лицей","8-812-515-35-71","Выборгский","Выборгский","","488@shko.la","0"
"1027801583908","Государственное бюджетное общеобразовательное учреждение лицей №623 имени Ивана Петровича Павлова Выборгского района Санкт-Петербурга","ГБОУ лицей №623","Санкт-Петербург г, Есенина ул, 22, А, 3, 194356","Директор","Бельцева Наталия Николаевна","Общеобразовательные учреждения","Лицей","8-812-517-40-02","Выборгский","Выборгский","","litsey623@yandex.ru","0"
"1027802499383","Государственное бюджетное общеобразовательное учреждение Лицей №126 Калининского района Санкт-Петербурга","ГБОУ Лицей №126","Санкт-Петербург г, Замшина ул, 14, А, 195197","Директор","Розов Павел Сергеевич","Общеобразовательные учреждения","Лицей","8-812-576-87-01","Калининский","Калининский","","school126@spb.edu.ru","0"
"1027802499130","Государственное бюджетное общеобразовательное учреждение лицей №144 Калининского района Санкт - Петербурга","ГБОУ лицей №144","Санкт-Петербург г, Суздальский пр-кт, 93, А, 2, 195297","Директор","Федорова Лолита Анатольевна","Общеобразовательные учреждения","Лицей","8-812-531-57-42","Калининский","Калининский","","gimn144spb@yandex.ru","0"
"1027802497898","Государственное бюджетное общеобразовательное учреждение лицей № 150 Калининского района Санкт-Петербурга","ГБОУ лицей №150","Санкт-Петербург г, Светлановский пр-кт, 38, 2, литер А, 195427","Директор","Фукс Лариса Анатольевна","Общеобразовательные учреждения","Лицей","8-812-417-64-41","Калининский","Калининский","lyc150.petersburgedu.ru","school-150@mail.ru","0"
"1027802497337","Государственное бюджетное общеобразовательное учреждение лицей №179 Калининского района Санкт-Петербурга","ГБОУ лицей №179","Санкт-Петербург г, Ушинского ул, 35, А, 2, 195267","Директор","Батова Людмила Анатольевна","Общеобразовательные учреждения","Лицей","8-812-417-50-88","Калининский","Калининский","","lyceum179spb@mail.ru","0"
"1027802497304","Государственное бюджетное общеобразовательное учреждение лицей №470 Калининского района Санкт-Петербурга","ГБОУ лицей №470","Санкт-Петербург г, Бутлерова ул, 22, А, 195220","Директор","Винокурова Ольга Луиновна","Общеобразовательные учреждения","Лицей","8-812-417-24-04","Калининский","Калининский","www.new.gymn470.ru","gymn470@spb.edu.ru","0"
"1027802499141","Государственное бюджетное общеобразовательное учреждение лицей №95 Калининского района Санкт-Петербурга","ГБОУ лицей №95","Санкт-Петербург г, Верности ул, 14, А, 4, 195256","Директор","Ремизова Светлана Николаевна","Общеобразовательные учреждения","Лицей","8-812-535-17-96","Калининский","Калининский","www.lyceum95.ru","lyceum-95@yandex.ru","0"
"1027802505279","Естественно-научный лицей федерального государственного автономного образовательного учреждения высшего образования ""Санкт-Петербургский политехнический университет Петра Великого""","Естественно-научный лицей СПбПУ","Санкт-Петербург г, Политехническая ул, 29, 195251","Директор","Байбиков Роман Анатольевич","Общеобразовательные учреждения","Лицей","8-812-550-02-70","Калининский","Комитет по образованию Санкт-Петербурга","nsl.spbstu.ru","enlyc@petersburgedu.ru","0"
"1027802738590","Государственное бюджетное общеобразовательное учреждение Лицей № 387 имени Н.В.Белоусова Кировского района Санкт-Петербурга","ГБОУ лицей №387","Санкт-Петербург г, Зины Портновой ул, 25, А, 2, 198207","Директор","Васькова Инна Юрьевна","Общеобразовательные учреждения","Лицей","8-812-753-56-77","Кировский","Кировский","","sc387@kirov.spb.ru","0"
"1027802737819","Государственное бюджетное общеобразовательное учреждение лицей № 393 Кировского района Санкт-Петербурга","ГБОУ лицей №393","Санкт-Петербург г, Автовская ул, 5, А, 198096","Директор","Титова Ольга Андреевна","Общеобразовательные учреждения","Лицей","8-812-246-29-66","Кировский","Кировский","","sc393@kirov.spb.ru","0"
"1027802751822","Государственное бюджетное общеобразовательное учреждение Лицей №244 Кировского района Санкт-Петербурга","ГБОУ лицей №244","Санкт-Петербург г, Ветеранов пр-кт, 80, А, 198260","Директор","Светлицкий Сергей Леонидович","Общеобразовательные учреждения","Лицей","8-812-750-29-47","Кировский","Кировский","","sc244@kirov.spb.ru","0"
"1037811024349","Государственное бюджетное общеобразовательное учреждение лицей №378 Кировского района Санкт-Петербурга","ГБОУ лицей №378","Санкт-Петербург г, Ветеранов пр-кт, 114, А, 2, 198261","Директор","Ковалюк Светлана Юрьевна","Общеобразовательные учреждения","Лицей","8-812-417-51-79","Кировский","Кировский","","sc378@kirov.spb.ru","0"
"1027802741185","Государственное бюджетное общеобразовательное учреждение лицей № 384 Кировского района Санкт-Петербурга","ГБОУ лицей №384","Санкт-Петербург г, Стачек пр-кт, 5, А, 198095","Исполняющий обязанности директора","Матвеева Наталия Владиславовна","Общеобразовательные учреждения","Лицей","8-812-417-51-99","Кировский","Кировский","","sc384@kirov.spb.ru","0"
"1027802749490","Государственное бюджетное общеобразовательное учреждение лицей № 389 «Центр экологического образования» Кировского района Санкт-Петербурга","ГБОУ лицей №389","Санкт-Петербург г, Кронштадтская ул, 7, А, 198096","Директор","Васекина Лариса Ивановна","Общеобразовательные учреждения","Лицей","8-812-783-51-12","Кировский","Кировский","","sc389@kirov.spb.ru","0"
"1027808757613","Государственное бюджетное общеобразовательное учреждение лицей № 273 имени Л.Ю.Гладышевой Колпинского района Санкт-Петербурга","ГБОУ лицей №273","Санкт-Петербург г, Плановая ул, 14, А, 196641","Директор","Сарксян Татьяна Геннадьевна","Общеобразовательные учреждения","Лицей","8-812-417-26-64","Колпинский","Колпинский","","liceum273@petersburgedu.ru","7"
"1027804194110","Государственное бюджетное общеобразовательное учреждение лицей № 265 Красногвардейского района Санкт- Петербурга","ГБОУ лицей №265","Санкт-Петербург г, Белорусская ул, 10, А, 195298","Директор","Михайлова Елена Васильевна","Общеобразовательные учреждения","Лицей","8-812-417-23-56","Красногвардейский","Красногвардейский","","265licspb@mail.ru","0"
"1027804182560","Государственное бюджетное общеобразовательное учреждение лицей №533 ""Образовательный комплекс ""Малая Охта"" Красногвардейского района Санкт-Петербурга","ГБОУ лицей №533","Санкт-Петербург г, Перевозный пер, 19, А, 195112","Директор","Кунц Майя Юрьевна","Общеобразовательные учреждения","Лицей","8-812-417-25-13","Красногвардейский","Красногвардейский","","oo-lyceum-533@yandex.ru","0"
"1037869004140","Частное образовательное учреждение среднего общего образования ""Лицей АРИСТОС""","ЧОУ СОО ""Лицей АРИСТОС""","Санкт-Петербург г, Большая Пороховская ул, 52, 2, 195248","Директор","Калинин Олег Владимирович","Общеобразовательные учреждения","Лицей","8-812-227-13-75","Красногвардейский","Красногвардейский","","aristos@mail.ru","0"
"1027804604695","Государственное бюджетное общеобразовательное учреждение лицей № 369 Красносельского района Санкт-Петербурга","ГБОУ лицей №369","Санкт-Петербург г, Маршала Захарова ул, 52, А, 198330","Директор","Тхостов Константин Эдуардович","Общеобразовательные учреждения","Лицей","8-812-751-17-17","Красносельский","Красносельский","","sch369@rambler.ru","0"
"1027804602715","Государственное бюджетное общеобразовательное учреждение лицей № 395 Красносельского района Санкт-Петербурга","ГБОУ лицей №395","Санкт-Петербург г, Ветеранов пр-кт, 135, А, 198264","Директор","Сергеева Светлана Петровна","Общеобразовательные учреждения","Лицей","8-812-744-00-47","Красносельский","Красносельский","","licei395spb@mail.ru","0"
"1027804599965","Государственное бюджетное общеобразовательное учреждение лицей № 590 Красносельского района Санкт-Петербурга","ГБОУ лицей №590","Санкт-Петербург г, Котина ул, 6, A, 3, 198332","Директор","Каменский Алексей Михайлович","Общеобразовательные учреждения","Лицей","8-812-742-51-81","Красносельский","Красносельский","","spb-school590@mail.ru","0"
"1037819004728","Санкт-Петербургское государственное бюджетное нетиповое образовательное учреждение ""Лицей искусств ""Санкт-Петербург""","СПб ГБНОУ ""Лицей искусств""","Санкт-Петербург г, Доблести ул, 34, А, 198328","Директор","Мельниченко Диана Тихоновна","Общеобразовательные учреждения","Лицей","8-812-751-47-59","Красносельский","","","","0"
