"ОГРН","Полное наименование ОУ по Уставу","Краткое наименование","Адрес ОУ","Должность руководителя","ФИО руководителя","Тип ОУ","Вид ОУ","Телефон","Подведомственность","Район","Адрес сайта","email","Количество групп"
"1107800001924","Негосударственное образовательное учреждение среднего (полного) общего образования ""Квадривиум""","НОУ Квадривиум","Санкт-Петербург г, 8-я Советская, 58, А, -, 191144","Директор","Миронова Елена Александровна","Общеобразовательные учреждения","Основная общеобразовательная школа","8-812-274-70-16","Центральный","","","","0"
"1020000000000","Средняя общеобразовательная школа №660 Загородного центра детско-юношеского творчества «Зеркальный» Государственного бюджетного нетипового «САНКТ-ПЕТЕРБУРГСКИЙ ГОРОДСКОЙ ДВОРЕЦ ТВОРЧЕСТВА ЮНЫХ»образовательного учреждения 	","Школа № 660 (Лен.обл.)","","","","Общеобразовательные учреждения","Основная общеобразовательная школа","","Комитет по образованию Санкт-Петербурга","Комитет по образованию Санкт-Петербурга","","","0"
"1057811690122","Частное общеобразовательное учреждение ""Академия""","ЧОУ ""Академия""","Санкт-Петербург г, Луговая ул, 8, А, 197738","Директор","Лотвинова Марина Юрьевна","Общеобразовательные учреждения","Основная общеобразовательная школа","7-812-432-05-74","Курортный","","","","0"
"1177847375639","Государственное бюджетное нетиповое  образовательное учреждение «Инженерно-технологическая школа № 777» Санкт-Петербурга","ГБНОУ «Инженерно-технологическая школа № 777»","197345, Санкт-Петербург, Лыжный переулок, дом 4, корпус 2 , строение 1  ","","","Общеобразовательные учреждения","Основная общеобразовательная школа","","Комитет по образованию Санкт-Петербурга","Комитет по образованию Санкт-Петербурга","","","0"
"1197847080562","Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №632 Приморского района Санкт-Петербурга","ГБОУ школа №632 ","197375, Санкт-Петербург, Суздальское шоссе, дом 28, корпус 3, строение 1.","Директор","Чеплевская Людмила Александровна","Общеобразовательные учреждения","Основная общеобразовательная школа","8-981-845-26-40","Приморский","Приморский","","","0"
"1047800002513","Частное образовательное учреждение средняя общеобразовательная школа ""Частная Школа Шостаковичей""","ЧОУ СОШ ""Частная Школа Шостаковичей""","Санкт-Петербург г, Линия 6-я В.О., 15, Д, 199004","Директор","Костюк Евгения Владимировна","Общеобразовательные учреждения","Основная общеобразовательная школа","8-812-244-11-03","Василеостровский","","","","0"
"1027808757778","Государственное бюджетное общеобразовательное учреждение основная общеобразовательная школа № 452 Колпинского района Санкт-Петербурга","ГБОУ ООШ №452","Санкт-Петербург г, Колпино г, Загородная ул, 41, А, 196652","Директор","Дубина Надежда Ивановна","Общеобразовательные учреждения","Основная общеобразовательная школа","8-812-417-27-00","Колпинский","Колпинский","","school452@spb.edu.ru","0"
"1027808757239","Государственное бюджетное общеобразовательное учреждение основная общеобразовательная школа № 465 Колпинского района Санкт-Петербурга","ГБОУ ООШ №465","Санкт-Петербург г, Коммунаров ул, 2, Лит. Б, 196642","Исполняющий обязанности директора","Павлова Любовь Анатольевна","Общеобразовательные учреждения","Основная общеобразовательная школа","8-812-462-13-14","Колпинский","Колпинский","http://s465.ucoz.ru","school465@spb.edu.ru","3"
"1027809003628","Государственное бюджетное общеобразовательное учреждение основная общеобразовательная школа № 460 Пушкинского района Санкт-Петербурга","ГБОУ ООШ №460","Санкт-Петербург г, Ленсоветовский тер, 19, А, 196627","Директор","Макарова Галина Валентиновна","Общеобразовательные учреждения","Основная общеобразовательная школа","8-812-746-46-45","Пушкинский","Пушкинский","","","16"
"1037843089602","Частное общеобразовательное учреждение ""Школа ""Обучение в диалоге""","ЧОУ ШОД","Санкт-Петербург г, Некрасова ул, 19, 191014","Директор","Андреев Владимир Иванович","Общеобразовательные учреждения","Основная общеобразовательная школа","8-812-272-01-59","Центральный","","","","0"
"1027802516720","Государственное бюджетное общеобразовательное учреждение основная общеобразовательная школа № 132 Санкт-Петербурга","ГБОУ ООШ №132","Санкт-Петербург г, Свердловская наб., 36, А, 195027","Директор","Остроумова Нина Викторовна","Общеобразовательные учреждения","Основная общеобразовательная школа","8-812-225-07-39","Комитет по образованию Санкт-Петербурга","Комитет по образованию Санкт-Петербурга","","sch132@petersburgedu.ru","0"
"1027809003595","Государственное бюджетное общеобразовательное учреждение основная общеобразовательная школа № 607 Пушкинского района Санкт-Петербурга","ГБОУ ООШ №607","Санкт-Петербург г, Пушкин г, Лесное п, 12, А, 196632","Директор","Шамина Любовь Николаевна","Общеобразовательные учреждения","Основная общеобразовательная школа","8-812-490-30-68","Пушкинский","Пушкинский","","liubov.shamina@yandex.ru","6"
