"ОГРН","Полное наименование ОУ по Уставу","Краткое наименование","Адрес ОУ","Должность руководителя","ФИО руководителя","Тип ОУ","Вид ОУ","Телефон","Подведомственность","Район","Адрес сайта","email","Количество групп"
"1027810272577","Автономная некоммерческая образовательная организация ""Общеобразовательный Центр ""Успех""","АНОО Успех","Санкт-Петербург г, Серпуховская ул, 39, А, 190013","Директор","Седова-Бахенская Марина Витальевна","Общеобразовательные учреждения","Средняя общеобразовательная школа","8-812-495-36-38","Адмиралтейский","","","","0"
"1037843037088","Частное Общеобразовательное Учреждение им. И. В. Каргеля и Ф. В. Бедекера","ЧОУ им. И. В. Каргеля и Ф. В. Бедекера","Санкт-Петербург г, Крестовский пр-кт, 7, А, 197110","Директор","Моллер Гарт Теодорович","Общеобразовательные учреждения","Средняя общеобразовательная школа","7-812-230-17-12","Петроградский","","","","0"
"1027809240360","Некоммерческая организация негосударственное (частное) образовательное учреждение среднего (полного) общего образования «Международная школа Герценовского университета»","НОУ МШГУ","Санкт-Петербург г, Гороховая ул, 12/23, 191186","Директор","Лаптева Лилия Брониславовна","Общеобразовательные учреждения","Средняя общеобразовательная школа","8-812-275-67-17","Центральный","Центральный","","school@petersburgedu.ru","0"
"2087800068266","Негосударственное образовательное учреждение среднего (полного) общего образования ""ЛИДЕР""","НОУ Лидер","Санкт-Петербург г, Авиаконструкторов пр-кт, 21, 197373","Директор","Петрова Лариса Викторовна","Общеобразовательные учреждения","Средняя общеобразовательная школа","8-812-342-46-42","Приморский","Приморский","","nou_lider@petersburgedu.ru","0"
"1027809015123","Негосударственное образовательное учреждение среднего (полного) общего образования ""Школа имени А.М. Горчакова""","НОУ ""Школа имени А.М.Горчакова""","Санкт-Петербург г, Елизаветинская, 2, 196620","Директор","Кузьмин Александр Владимирович","Общеобразовательные учреждения","Средняя общеобразовательная школа","7-812-465-18-18","Пушкинский","Пушкинский","","gorchakov@petersburgedu.ru","0"
"1037843080417","ЧАСТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ШКОЛА"" УНИСОН""","ЧОУ ""ШКОЛА ""УНИСОН""","Санкт-Петербург г, Реки Фонтанки наб, 55, 191023","Директор","Герапинович Лариса Рудольфовна","Общеобразовательные учреждения","Средняя общеобразовательная школа","8-812-571-83-57","Центральный","","","","0"
"1027810349368","Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 225 Адмиралтейского района Санкт-Петербурга","ГБОУ СОШ №225","Санкт-Петербург г, Адмиралтейская наб, 4, А, 190000","Директор","Федосеенко Александр Сергеевич","Общеобразовательные учреждения","Средняя общеобразовательная школа","8-812-417-20-06","Адмиралтейский","Адмиралтейский","","school225@petersburgedu.ru","0"
"1027810356221","Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 229 Адмиралтейского района Санкт-Петербурга","ГБОУ СОШ №229","Санкт-Петербург г, Бойцова пер, 3, 190068","Директор","Петрова Наталия Анатольевна","Общеобразовательные учреждения","Средняя общеобразовательная школа","8-812-417-32-42","Адмиралтейский","Адмиралтейский","","school229@spb.edu.ru","0"
"1027810291189","Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 232 Адмиралтейского района Санкт-Петербурга","ГБОУ СОШ №232","Санкт-Петербург г, Крюкова канала наб, 15, А, 190068","Директор","Прокофьева Наталья Анатольевна","Общеобразовательные учреждения","Средняя общеобразовательная школа","8-812-417-34-83","Адмиралтейский","Адмиралтейский","232spb.ru","school232@ spb.edu.ru.","0"
"1027810334353","Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 234 Адмиралтейского района Санкт-Петербурга","ГБОУ школа №234","Санкт-Петербург г, Канонерская ул, 33, А, 190121","Директор","Седых Ирина Анатольевна","Общеобразовательные учреждения","Средняя общеобразовательная школа","8-812-714-23-53","Адмиралтейский","Адмиралтейский","","school234@spb.edu.ru","0"
"1027810295237","Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №241 Адмиралтейского района Санкт-Петербурга","ГБОУ СОШ №241","Санкт-Петербург г, Вознесенский пр-кт, 38/4, А, 190068","Директор","Макеева Ольга Владимировна","Общеобразовательные учреждения","Средняя общеобразовательная школа","8-812-417-61-01","Адмиралтейский","Адмиралтейский","http://www.school241.com/","school241@spb.edu.ru","2"
