"ОГРН","Полное наименование ОУ по Уставу","Краткое наименование","Адрес ОУ","Должность руководителя","ФИО руководителя","Тип ОУ","Вид ОУ","Телефон","Подведомственность","Район","Адрес сайта","email","Количество групп"
"1027802497458","Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №98 с углубленным изучением английского языка Калининского района Санкт-Петербурга","ДО при ГБОУ СОШ №98","Санкт-Петербург г, Гражданский пр-кт, 92, А, 3, 195257","Директор","Фетисова Ирина Владимировна","Общеобразовательные учреждения","Средняя общеобразовательная школа с углубленным изучением предмета","8-812-555-75-66","Калининский","Калининский","","","11"
"1037851004091","Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №235 с углубленным изучением предметов художественно - эстетического цикла им. Д.Д.Шостаковича Адмиралтейского района Санкт-Петербурга","ГБОУ СОШ №235 им. Д.Д. Шостаковича","Санкт-Петербург г, Реки Пряжки наб, 4-6, А, 190121","Директор","Стаховский Тимофей Владимирович","Общеобразовательные учреждения","Средняя общеобразовательная школа с углубленным изучением предмета","8-812-572-58-46","Адмиралтейский","Адмиралтейский","","school235@spb.edu.ru","0"
"1027810344100","Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 238 с углубленным изучением английского языка Адмиралтейского района Санкт-Петербурга","ГБОУ СОШ №238","Санкт-Петербург г, Галерная ул, 36-38, А, 190000","Директор","Ермилова Тамара Юрьевна","Общеобразовательные учреждения","Средняя общеобразовательная школа с углубленным изучением предмета","8-812-315-53-38","Адмиралтейский","Адмиралтейский","","school238@spb.edu.ru","0"
"1027810345310","Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 255 с углубленным изучением предметов художественно-эстетического цикла Адмиралтейского района Санкт-Петербурга","ГБОУ СОШ №255","Санкт-Петербург г, Фонарный пер, 4, А, 190000","Директор","Капитанова Екатерина Борисовна","Общеобразовательные учреждения","Средняя общеобразовательная школа с углубленным изучением предмета","8-812-417-29-33","Адмиралтейский","Адмиралтейский","","school255@spb.edu.ru","0"
"1027810346211","Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 263 с углубленным изучением английского языка Адмиралтейского района Санкт-Петербурга","ГБОУ СОШ №263","Санкт-Петербург г, Старо-Петергофский пр-кт, 33, А, 190020","Директор","Рыдлевский Алексей Владимирович","Общеобразовательные учреждения","Средняя общеобразовательная школа с углубленным изучением предмета","8-812-417-61-31","Адмиралтейский","Адмиралтейский","","school263@spb.edu.ru","0"
"1027810301606","Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 266 с углубленным изучением французского языка Адмиралтейского района Санкт-Петербурга","ГБОУ СОШ №266","Санкт-Петербург г, Красноармейская 5-я ул, 23, А, 190005","Директор","Папуциди Элеонора Христофоровна","Общеобразовательные учреждения","Средняя общеобразовательная школа с углубленным изучением предмета","8-812-316-08-65","Адмиралтейский","Адмиралтейский","","school266@spb.edu.ru","0"
"1027810332307","Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 306 с углубленным изучением английского языка Адмиралтейского района Санкт-Петербурга","ГБОУ СОШ №306","Санкт-Петербург г, Верейская ул, 20, А, 190013","Директор","Мушкудиани Ирина Геннадьевна","Общеобразовательные учреждения","Средняя общеобразовательная школа с углубленным изучением предмета","8-812-316-16-66","Адмиралтейский","Адмиралтейский","","school306@spb.edu.ru","0"
"1027800546795","Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №10 с углубленным изучением химии Василеостровского района Санкт-Петербурга","ГБОУ СОШ №10","Санкт-Петербург г, Кораблестроителей ул, 42, 2, литер А, 199155","Директор","Румянцев Денис Евгеньевич","Общеобразовательные учреждения","Средняя общеобразовательная школа с углубленным изучением предмета","8-812-417-23-42","Василеостровский","Василеостровский","","school010@spb.edu.ru","0"
"1027800541735","Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 12 с углубленным изучением английского языка Василеостровского района Санкт-Петербурга","ГБОУ СОШ №12","Санкт-Петербург г, Кораблестроителей ул, 21, А, 3, 199226","Директор","Шведова Диана Анатольевна","Общеобразовательные учреждения","Средняя общеобразовательная школа с углубленным изучением предмета","8-812-417-38-25","Василеостровский","Василеостровский","","school12@spb.edu.ru","0"
"1037800007211","Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 18 с углубленным изучением математики Василеостровского района Санкт-Петербурга","ГБОУ СОШ №18","Санкт-Петербург г, КИМа пр-кт, 11, Б, 199155","Директор","Иванова Наталья Петровна","Общеобразовательные учреждения","Средняя общеобразовательная школа с углубленным изучением предмета","8-812-417-24-20","Василеостровский","Василеостровский","","school018@spb.edu.ru","6"
"1037800017243","Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №27 с углубленным изучением литературы, истории и иностранных языков Василеостровского района Санкт-Петербурга имени И.А. Бунина","ГБОУ СОШ №27","Санкт-Петербург г, 10-я В.О. линия, 1/15, А, 199034","Директор","Филиппова Светлана Анатольевна","Общеобразовательные учреждения","Средняя общеобразовательная школа с углубленным изучением предмета","8-812-323-62-82","Василеостровский","Василеостровский","","School027@spb.edu.ru","11"
"1037800021379","Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 29 с углубленным изучением французского языка и права Василеостровского района Санкт-Петербурга","ГБОУ СОШ №29","Санкт-Петербург г, Малый ВО пр-кт, 34, А, 199178","Директор","Борисов Владимир Анатольевич","Общеобразовательные учреждения","Средняя общеобразовательная школа с углубленным изучением предмета","8-812-323-02-23","Василеостровский","Василеостровский","","school029@spb.edu.ru","0"
"1037800017969","Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 31 с углубленным изучением английского языка Василеостровского района Санкт-Петербурга","ГБОУ СОШ №31","Санкт-Петербург г, Кораблестроителей ул, 38, А, 2, 199155","Директор","Остапченко Татьяна Олеговна","Общеобразовательные учреждения","Средняя общеобразовательная школа с углубленным изучением предмета","8-812-351-07-80","Василеостровский","Василеостровский","s31.ru","school31@spb.edu.ru","0"
"1037800050276","Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 35 с углубленным изучением английского языка Василеостровского района Санкт-Петербурга","ГБОУ СОШ №35","Санкт-Петербург г, Кадетская линия, 3, 199053","Директор","Кусок Оксана Анатольевна","Общеобразовательные учреждения","Средняя общеобразовательная школа с углубленным изучением предмета","8-812-573-97-29","Василеостровский","Василеостровский","","school035@spb.edu.ru","8"
"1027800560303","Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 4 с углубленным изучением французского языка имени Жака-Ива Кусто Василеостровского района Санкт-Петербурга","ГБОУ СОШ №4 Кусто","Санкт-Петербург г, Опочинина ул, 10, 199106","Директор","Берлина Татьяна Робертовна","Общеобразовательные учреждения","Средняя общеобразовательная школа с углубленным изучением предмета","8-812-356-54-40","Василеостровский","Василеостровский","","cousteau@spb.edu.ru","3"
"1027801583369","Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №65 с углублённым изучением французского языка Выборгского района Санкт-Петербурга","ГБОУ СОШ №065","Санкт-Петербург г, Учебный пер, 8, А, 2, 194354","Директор","Ермолаева Наталия Яковлевна","Общеобразовательные учреждения","Средняя общеобразовательная школа с углубленным изучением предмета","8-812-417-64-66","Выборгский","Выборгский","www.school65.spb.ru","schoolfr_65@mail.ru","0"
