Номер ОУ,Полное наименование ОУ по Уставу,Краткое наименование,Адрес электронной почты,Адрес ОУ,Должность руководителя,ФИО руководителя,Тип ОУ,Вид ОУ,Телефон,Район,Подведомственность,"""Статус сервиса """"Электронный дневник""""""",ОГРН,Адрес электронной почты из Параграф.Регион,Адрес сайта в сети Интернет,Название,Адрес сайта,Город,Улица,Дом,Литерал,Корпус,Индекс,Сайт инициализирован,Сайт ОО,Код здания ФИАС,Тип местности,Часы работы,Юридический адрес через код здания ФИАС,Организационно-правовая форма,Статус,Тип группы ОВЗ,Тип питания,Официальный сайт,Старый ОГРН,ОКТМО
504,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 504 с углубленным изучением английского языка Кировского района Санкт-Петербурга,ГБОУ СОШ №504,sc504@kirov.spb.ru,"Санкт-Петербург г, Новаторов б-р, 43, А, 198216",Директор,Виноградова Наталья Витальевна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-417-51-68,Кировский,Кировский,"",1027802767300,sch504@gmail.com,http://sc504.kirov.spb.ru/,ГОУ СОШ №504,http://sc504.kirov.spb.ru/,Санкт-Петербург г,Новаторов б-р,43,"","",198216,"","","","","","","","","","","","",""
368,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 368 с углубленным изучением английского языка Фрунзенского района Санкт-Петербурга,ГБОУ СОШ №368,school368@edu-frn.spb.ru,"Санкт-Петербург г, Ярослава Гашека ул, 28, А, 192288",Директор,Соколова Светлана Николаевна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-778-53-47,Фрунзенский,Фрунзенский,"",1037835024589,info@school368.spb.ru,http://shkola-368.ru,ГОУ СОШ №368 (англ),shkola-368.ru,Санкт-Петербург г,Ярослава Гашека ул,28,"","",192288,Да,ГБОУ СОШ №368,"","","","","","","","","","",""
333,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 333 Невского района Санкт-Петербурга,ГБОУ СОШ №333,nbend333@rambler.ru,"Санкт-Петербург г, Белышева ул, 6, А, 193318",Директор,Дубровин Валерий Александрович,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-588-02-75,Невский,Невский,"",1037825019506,nbend333@rambler.ru,http://www.333spb.edusite.ru,ГОУ СОШ №333,http://www.333spb.edusite.ru,Санкт-Петербург г,Белышева ул,6,"","",193318,"","","","","","","","","","","","",""
599,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №599 Приморского района Санкт-Петербурга,ГБОУ СОШ №599,school599@school599spb.ru,"Санкт-Петербург г, Яхтенная ул, 7, А, 3, 197374",Директор,Клевцова Лариса Дмитриевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-344-58-88,Приморский,Приморский,"",1027807587323,school599@spb.edu.ru,http://school599spb.ru,ГОУ СОШ №599,http://school599spb.ru,Санкт-Петербург г,Яхтенная ул,7,"",3,197374,"","","","","","","","","","","","",""
18,Государственное бюджетное общеобразовательное учреждение школа-интернат №18 Невского района Санкт-Петербурга,ГБОУ Ш-И №18,internat_18@mail.ru,"Санкт-Петербург г, Шелгунова ул, 5, А, а, 192174",Директор,Котелевец Виктор Анатольевич,"Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии",Специальная (коррекционная) общеобразовательная школа-интернат,8-812-362-06-87,Невский,Невский,"",1027806082391,internat_18@mail.ru,http://www.18.internat.ru,ГОУ С(К)ОШ-И №18,http://www.18.internat.ru,Санкт-Петербург г,Шелгунова ул,5,"",а,192174,Нет,ГБОУ Ш-И №18,00000000-0000-0000-0000-000000000000,Городская,"","","","","","","","",""
355,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №355 Московского района Санкт-Петербурга,ГБОУ СОШ №355,school355@list.ru,"Санкт-Петербург г, Благодатная ул, 32, А, 196105",Директор,Баринова Татьяна Павловна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-388-02-77,Московский,Московский,"",1027804894292,school355@spb.edu.ru,http://www.355spb.edusite.ru,ГОУ СОШ №355,www.355spb.edusite.ru,Санкт-Петербург г,Благодатная ул,32,"","",196105,Да,ГБОУ СОШ №355,00000000-0000-0000-0000-000000000000,"",7:00-19:00,"","","","","","","",""
538,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 538 с углубленным изучением информационных технологий Кировского района Санкт-Петербурга,ГБОУ СОШ №538,sc538@kirov.spb.ru,"Санкт-Петербург г, Новаторов б-р, 40, А, 198216",Директор,Огородова Татьяна Андреевна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-377-36-76,Кировский,Кировский,"",1027802740998,sc538@kirov.spb.ru,http://www.sc538.spb.ru,ГОУ СОШ №538,http://www.sc538.spb.ru,Санкт-Петербург г,Новаторов б-р,40,"","",198216,"","","","","","","","","","","","",""
570,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 570 Невского района Санкт-Петербурга,ГБОУ СОШ №570,schools570@yandex.ru,"Санкт-Петербург г, Шлиссельбургский пр-кт, 10, А, 192076",Директор,Фомина Надежда Юрьевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-34-73,Невский,Невский,"",1027806075296,schools570@yandex.ru,http://school570.spb.ru,ГОУ СОШ №570,http://school570.spb.ru,Санкт-Петербург г,Шлиссельбургский пр-кт,10,"","",192076,Да,ГБОУ СОШ №570,"","","","","","","","","","",""
365,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 365 Фрунзенского района Санкт-Петербурга имени Героя Советского Союза М.П. Краснолуцкого,ГБОУ СОШ №365,school365@edu-frn.spb.ru,"Санкт-Петербург г, Будапештская ул, 93, А, 192283",Директор,Лысенкова Елена Евгеньевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-20-65,Фрунзенский,Фрунзенский,"",1027807992827,school365@spb.edu.ru,http://school365.edusite.ru,ГОУ СОШ №365,school365.edusite.ru,Санкт-Петербург г,Будапештская ул,93,"","",192283,"","",00000000-0000-0000-0000-000000000000,Городская,7.00-19.00,66666666666666666666666666666666,Государственная,Функционирует,Нет групп ОВЗ,Организация,"","",""
494,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 494 Выборгского района Санкт-Петербурга,ГБОУ СОШ №494,494@shko.la,"Санкт-Петербург г, Композиторов ул, 22, А, 2, 194355",Директор,Чернова Ирина Николаевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-515-86-37,Выборгский,Выборгский,"",1027801583787,494school@.mail.ru,http://494.shko.la/,ГОУ СОШ №494,http://494.shko.la/,Санкт-Петербург г,Композиторов ул,22,"",2,194355,"","","","","","","","","","","","",""
