ОГРН,Полное наименование ОУ по Уставу,Краткое наименование,Адрес ОУ,Должность руководителя,ФИО руководителя,Тип ОУ,Вид ОУ,Телефон,Подведомственность,Район,Адрес сайта,email,Количество групп
1027810349841,Государственное бюджетное общеобразовательное учреждение центр образования № 195 Адмиралтейского района Санкт-Петербурга,ГБОУ ЦО №195,"Санкт-Петербург г, Бородинская ул, 11, А, 191180",Директор,Приставко Светлана Александровна,Общеобразовательные учреждения,Центр образования,8-812-713-32-50,Адмиралтейский,Адмиралтейский,"",school195@spb.edu.ru,0
1027802497546,Государственное бюджетное общеобразовательное учреждение Центр образования № 633 Калининского района Санкт-Петербурга,ГБОУ ЦО №633,"Санкт-Петербург г, Науки пр-кт, 24, 3, 195256",Директор,Лебедев Дмитрий Владимирович,Общеобразовательные учреждения,Центр образования,8-812-417-22-13,Калининский,Калининский,"",school633@list.ru,0
1027802739447,Государственное бюджетное общеобразовательное учреждение центр образования № 162 Кировского района Санкт-Петербурга,ГБОУ ЦО №162,"Санкт-Петербург г, Турбинная ул, 50, 198097",Исполняющий обязанности директора,Рожкова Мария Андреевна,Общеобразовательные учреждения,Центр образования,8-812-786-26-12,Кировский,Кировский,http://www.sc162.kirov.spb.ru,sc162@kirov.spb.ru,0
1027808758130,Государственное бюджетное общеобразовательное учреждение центр образования № 170 Колпинского района Санкт-Петербурга,ГБОУ ЦО №170,"Санкт-Петербург г, Колпино г, Ленина пр-кт, 5, А, 196653",Директор,Левшин Константин Викторович,Общеобразовательные учреждения,Центр образования,8-812-417-32-35,Колпинский,Колпинский,"",school170@spb.edu.ru,0
1027804601538,Государственное бюджетное общеобразовательное учреждение Центр образования № 167 Красносельского района Санкт-Петербурга,ГБОУ ЦО №167,"Санкт-Петербург г, Летчика Пилютова ул, 11, 2, 198206",Директор,Чупина Наталия Александровна,Общеобразовательные учреждения,Центр образования,8-812-417-30-06,Красносельский,Красносельский,"",school_167@mail.spb.ru.,0
1037825010123,Государственное бюджетное общеобразовательное учреждение Центр образования №133 Невского района Санкт-Петербурга,ГБОУ ЦО №133,"Санкт-Петербург г, Слободская ул, 5, А, 192019",Директор,Хлебникова Светлана Анатольевна,Общеобразовательные учреждения,Центр образования,8-812-412-94-45,Невский,Невский,"",school133spb@mail.ru,0
5067847274754,Государственное бюджетное общеобразовательное учреждение Центр образования № 173 Петроградского района Санкт-Петербурга,ГБОУ ЦО №173,"Санкт-Петербург г, Новоладожская ул, 8, А, 197110",Директор,Поварова Елена Андреевна,Общеобразовательные учреждения,Центр образования,8-812-235-64-52,Петроградский,Петроградский,http://co173.ru/,co173@mail.ru,0
1047844001446,Государственное бюджетное общеобразовательное учреждение Центр образования №80 Центрального района Санкт-Петербурга,ГБОУ ЦО №80,"Санкт-Петербург г, Советская 8-я ул, 62, 191144",Директор,Камердинеров Виталий Георгиевич,Общеобразовательные учреждения,Центр образования,8-812-271-07-81,Центральный,Центральный,"",sch80@center-edu.spb.ru,0
1037816024201,Государственное бюджетное общеобразовательное учреждение центр образования № 1 Санкт-Петербурга,ГБОУ ЦО №1 СПб,"Санкт-Петербург г, 1-я Жерновская ул, 8, А, 195030",Директор,Григорьева Светлана Станиславовна,Общеобразовательные учреждения,Центр образования,8-812-527-50-63,Комитет по образованию Санкт-Петербурга,Красногвардейский,www.zo1-spb.ru,schoolbl_spb@mail.ru,0
1027810272577,"Автономная некоммерческая образовательная организация ""Общеобразовательный Центр ""Успех""",АНОО Успех,"Санкт-Петербург г, Серпуховская ул, 39, А, 190013",Директор,Седова-Бахенская Марина Витальевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-495-36-38,Адмиралтейский,"","","",0
1037843037088,Частное Общеобразовательное Учреждение им. И. В. Каргеля и Ф. В. Бедекера,ЧОУ им. И. В. Каргеля и Ф. В. Бедекера,"Санкт-Петербург г, Крестовский пр-кт, 7, А, 197110",Директор,Моллер Гарт Теодорович,Общеобразовательные учреждения,Средняя общеобразовательная школа,7-812-230-17-12,Петроградский,"","","",0
1027809240360,Некоммерческая организация негосударственное (частное) образовательное учреждение среднего (полного) общего образования «Международная школа Герценовского университета»,НОУ МШГУ,"Санкт-Петербург г, Гороховая ул, 12/23, 191186",Директор,Лаптева Лилия Брониславовна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-275-67-17,Центральный,Центральный,"",school@petersburgedu.ru,0
2087800068266,"Негосударственное образовательное учреждение среднего (полного) общего образования ""ЛИДЕР""",НОУ Лидер,"Санкт-Петербург г, Авиаконструкторов пр-кт, 21, 197373",Директор,Петрова Лариса Викторовна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-342-46-42,Приморский,Приморский,"",nou_lider@petersburgedu.ru,0
