"ОГРН","Полное наименование ОУ по Уставу","Краткое наименование","Адрес ОУ","Должность руководителя","ФИО руководителя","Тип ОУ","Вид ОУ","Телефон","Подведомственность","Район","Адрес сайта","email","Количество групп"
"1027810347773","Государственное бюджетное общеобразовательное учреждение Гимназия № 272 Адмиралтейского района Санкт-Петербурга","ГБОУ Гимназия №272","Санкт-Петербург г, 8-я Красноармейская ул, 3, А, 190103","Директор","Калмыкова Галина Андреевна","Общеобразовательные учреждения","Гимназия","8-812-251-16-49","Адмиралтейский","Адмиралтейский","","school272@spb.edu.ru","0"
"1037851010977","Государственное бюджетное общеобразовательное учреждение гимназия №278 имени Б.Б. Голицына Адмиралтейского района Санкт-Петербурга","ГБОУ гимназия №278 имени Б.Б. Голицына","Санкт-Петербург г, Дровяная ул, 7, а, 190103","Директор","Шутова Валентина Михайловна","Общеобразовательные учреждения","Гимназия","8-812-251-43-34","Адмиралтейский","Адмиралтейский","","school278@spb.edu.ru","0"
"1037800024690","Государственное бюджетное общеобразовательное учреждение гимназия № 11 Василеостровского района Санкт-Петербурга","ГБОУ гимназия №11","Санкт-Петербург г, 16-я В.О. линия, 55, А, 199178","Директор","Сергеева Вероника Борисовна","Общеобразовательные учреждения","Гимназия","8-812-321-57-52","Василеостровский","Василеостровский","","gymn011@spb.edu.ru","0"
"1037800008784","Государственное бюджетное общеобразовательное учреждение гимназия №24 имени И. А. Крылова Санкт-Петербурга","ГБОУ гимназия №24","Санкт-Петербург г, Средний пр-кт, 20, 199053","Директор","Корниенко Татьяна Викторовна","Общеобразовательные учреждения","Гимназия","8-812-323-77-28","Василеостровский","Василеостровский","","gymn024@spb.edu.ru","2"
"1027800539470","Государственное бюджетное общеобразовательное учреждение гимназия № 32 ""Гимназия петербургской культуры"" Василеостровского района Санкт-Петербурга","ГБОУ гимназия №32","Санкт-Петербург г, 2-я линия, 43, 199053","Директор","Коршунова Оксана Викторовна","Общеобразовательные учреждения","Гимназия","8-812-323-40-68","Василеостровский","Василеостровский","gymn32.ru","gymn32@mail.ru","0"
"1037800017551","Государственное бюджетное общеобразовательное учреждение гимназия №586 Василеостровского района Санкт-Петербурга","ГБОУ гимназия №586","Санкт-Петербург г, Кораблестроителей ул, 37, 5, 199397","Директор","Зинченко Елена Валерьевна","Общеобразовательные учреждения","Гимназия","8-812-351-87-63","Василеостровский","Василеостровский","","school586@spb.edu.ru","2"
"1027800547510","Государственное бюджетное общеобразовательное учреждение гимназия №642 ""Земля и Вселенная"" Василеостровского района Санкт-Петербурга","ГБОУ гимназия №642 ""Земля и Вселенная"" Санкт-Петербурга","Санкт-Петербург г, Гаванская ул, 54, Б, 199406","Директор","Трошкеев Павел Анатольевич","Общеобразовательные учреждения","Гимназия","8-812-351-89-90","Василеостровский","Василеостровский","","school642@spb.edu.ru","10"
"1027801583347","Государственное бюджетное общеобразовательное учреждение гимназия № 61 Выборгского района Санкт-Петербурга","ГБОУ гимназия №061","Санкт-Петербург г, Художников пр-кт, 29, А, 3, 194295","Директор","Казеева Татьяна Александровна","Общеобразовательные учреждения","Гимназия","8-812-417-61-24","Выборгский","Выборгский","http://061.shko.la/","061@shko.la","0"
"1027801583370","Государственное бюджетное общеобразовательное учреждение гимназия № 73 ""Ломоносовская гимназия"" Выборгского района Санкт-Петербурга","ГБОУ гимназия №073","Санкт-Петербург г, Энгельса пр-кт, 115, А, 2, 194354","Директор","Яцкевич Ирина Геннадьевна","Общеобразовательные учреждения","Гимназия","8-812-511-70-05","Выборгский","Выборгский","gymnasium-73.ru","073@shko.la","0"
"1027801583380","Государственное бюджетное общеобразовательное учреждение гимназия № 74 Выборгского района Санкт-Петербурга","ГБОУ гимназия №074","Санкт-Петербург г, Болотная ул, 6, А, 194021","Директор","Лакко Алла Генриховна","Общеобразовательные учреждения","Гимназия","8-812-417-63-92","Выборгский","Выборгский","www.gumnasium74.ru","school74@spb.edu.ru","0"
"1027801583655","Государственное бюджетное общеобразовательное учреждение гимназия № 92 Выборгского района Санкт-Петербурга","ГБОУ гимназия №092","Санкт-Петербург г, Тореза пр-кт, 94, А, 1, 194017","Директор","Сочилин Сергей Борисович","Общеобразовательные учреждения","Гимназия","8-812-293-98-34","Выборгский","Выборгский","http://gym092.petersburgedu.ru/","school92_spb@mail.ru","0"
"1027801583578","Государственное бюджетное общеобразовательное учреждение гимназия № 105 Выборгского района Санкт-Петербурга","ГБОУ гимназия №105","Санкт-Петербург г, Орбели ул, 24, А, 194223","Директор","Лозин Олег Ионович","Общеобразовательные учреждения","Гимназия","8-812-552-59-88","Выборгский","Выборгский","","105@shko.la","0"
