name,href,id,area
Вторая Санкт-Петербургская гимназия,../../inostrannyie-yazyiki/vtoraya-sankt-peterburgskaya-gimnaziya/index.html,a3,admiraltejskij
"№ 278, гимназия",../../anglijskij-yazyik/278-gimnaziya/index.html,a21,admiraltejskij
"№ 263, школа с углубленным изучением английского языка",../../anglijskij-yazyik/263-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a17,admiraltejskij
"№ 307, школа",../../sredneobrazovatelnaya-shkola/307-shkola-bazovaya-shkola-universiteta-ekonomiki-i-finansov-bgtu-i-inzhekon/index.html,a28,admiraltejskij
"№ 281, лицей с углубленным изучением химии",../../himiya/281-litsej-s-uglublennyim-izucheniem-himii/index.html,a23,admiraltejskij
"Дипломат, частная школа",../../sredneobrazovatelnaya-shkola/diplomat-chastnaya-shkola/index.html,a33,admiraltejskij
"№ 564, школа (классы ЛНМО)",../../sredneobrazovatelnaya-shkola/564-shkola/index.html,a30,admiraltejskij
"№ 306, школа с углубленным изучением английского языка",../../anglijskij-yazyik/306-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a27,admiraltejskij
"№ 272, гимназия",../../sredneobrazovatelnaya-shkola/272-gimnaziya/index.html,a20,admiraltejskij
"№ 238, школа с углубленным изучением английского языка",../../anglijskij-yazyik/238-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a9,admiraltejskij
Школа народного искусства Императрицы Александры Федоровны (ШНИ),../../hudozhestvenno-esteticheskoe-obrazovanie/shkola-narodnogo-iskusstva-imperatritsyi-aleksandryi-fedorovnyi/index.html,a37,admiraltejskij
Средняя специальная музыкальная школа имени Н. А. Римского-Корсакова (ССМШ),../../hudozhestvenno-esteticheskoe-obrazovanie/srednyaya-spetsialnaya-muzyikalnaya-shkola-spb-gosudarstvennoj-konservatorii-im-n-a-rimskogo-korsakova-kolledzh/index.html,a1,admiraltejskij
"№ 232, школа",../../sredneobrazovatelnaya-shkola/232-shkola/index.html,a6,admiraltejskij
"№ 234, школа",../../sredneobrazovatelnaya-shkola/234-shkola/index.html,a7,admiraltejskij
Суворовское военное училище МО РФ (СВУ),../../voennoe-uchilische/suvorovskoe-voennoe-uchilische/index.html,a739,admiraltejskij
"№ 266, школа с углубленным изучением французского языка",../../frantsuzskij-yazyik/266-shkola-s-uglublennyim-izucheniem-frantsuzskogo-yazyika/index.html,a18,admiraltejskij
"№ 243, школа",../../sredneobrazovatelnaya-shkola/243-shkola/index.html,a11,admiraltejskij
"№ 286, школа (классы ЛНМО)",../../sredneobrazovatelnaya-shkola/286-shkola/index.html,a24,admiraltejskij
"№ 229, школа",../../sredneobrazovatelnaya-shkola/229-litsej/index.html,a5,admiraltejskij
"№ 241, школа",../../sredneobrazovatelnaya-shkola/241-shkola/index.html,a10,admiraltejskij
"Экспресс, школа экстернат",../../sredneobrazovatelnaya-shkola/ekspress-srednyaya-obscheobrazovatelnaya-shkola/index.html,a703,admiraltejskij
"№ 280, школа имени М. Ю. Лермонтова",../../sredneobrazovatelnaya-shkola/280-shkola-imeni-m-yu-lermontova/index.html,a22,admiraltejskij
"№ 225, школа",../../sredneobrazovatelnaya-shkola/225-shkola/index.html,a4,admiraltejskij
"№ 256, школа",../../sredneobrazovatelnaya-shkola/256-shkola/index.html,a14,admiraltejskij
"№ 267, школа",../../sredneobrazovatelnaya-shkola/267-shkola/index.html,a19,admiraltejskij
"ШКОЛА ТЕАТРА, ТЕЛЕВИДЕНИЯ И ШОУ-БИЗНЕСА (ШТТиШБ)",../../drugoe/shkola-teatra-televideniya-i-shou-biznesa/index.html,a39,admiraltejskij
"№ 255, школа - отделение дополнительного образования «Школа-творчество»",../../drugoe/255-shkola-otdelenie-dopolnitelnogo-obrazovaniya-shkola-tvorchestvo/index.html,a13,admiraltejskij
"№ 616, Центр ""Динамика"" для детей с ДЦП",../../deti-s-osobennostyami-razvitiya/616-tsentr-dinamika/index.html,a754,admiraltejskij
"№ 259, школа",../../sredneobrazovatelnaya-shkola/259-shkola/index.html,a15,admiraltejskij
