name,id
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 504 с углубленным изучением английского языка Кировского района Санкт-Петербурга,0a44dea804ccb4c0aeb092ebe11a78fc
ГБОУ СОШ №504,0a44dea804ccb4c0aeb092ebe11a78fc
ГОУ СОШ №504,0a44dea804ccb4c0aeb092ebe11a78fc
Школа № 504,0a44dea804ccb4c0aeb092ebe11a78fc
Школа №504,0a44dea804ccb4c0aeb092ebe11a78fc
"№ 504, школа",0a44dea804ccb4c0aeb092ebe11a78fc
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 368 с углубленным изучением английского языка Фрунзенского района Санкт-Петербурга,05e5bf66aa8e29fe9c8a0007e794de0d
ГБОУ СОШ №368,05e5bf66aa8e29fe9c8a0007e794de0d
ГОУ СОШ №368 (англ),05e5bf66aa8e29fe9c8a0007e794de0d
Школа № 368,05e5bf66aa8e29fe9c8a0007e794de0d
Школа №368,05e5bf66aa8e29fe9c8a0007e794de0d
"№ 368, школа",05e5bf66aa8e29fe9c8a0007e794de0d
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 333 Невского района Санкт-Петербурга,b7b0165570e72ac89e9c635752d8edea
ГБОУ СОШ №333,b7b0165570e72ac89e9c635752d8edea
ГОУ СОШ №333,b7b0165570e72ac89e9c635752d8edea
Школа № 333,b7b0165570e72ac89e9c635752d8edea
Школа №333,b7b0165570e72ac89e9c635752d8edea
"№ 333, школа",b7b0165570e72ac89e9c635752d8edea
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №599 Приморского района Санкт-Петербурга,2a9b85abf69548676d8f4b869d436995
ГБОУ СОШ №599,2a9b85abf69548676d8f4b869d436995
ГОУ СОШ №599,2a9b85abf69548676d8f4b869d436995
Школа № 599,2a9b85abf69548676d8f4b869d436995
Школа №599,2a9b85abf69548676d8f4b869d436995
"№ 599, школа",2a9b85abf69548676d8f4b869d436995
Государственное бюджетное общеобразовательное учреждение школа-интернат №18 Невского района Санкт-Петербурга,58c307853dc2d713ce7df0869342ac3e
ГБОУ Ш-И №18,58c307853dc2d713ce7df0869342ac3e
ГОУ С(К)ОШ-И №18,58c307853dc2d713ce7df0869342ac3e
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №355 Московского района Санкт-Петербурга,a05ffce54f2c45eaf254f136073d5b37
ГБОУ СОШ №355,a05ffce54f2c45eaf254f136073d5b37
ГОУ СОШ №355,a05ffce54f2c45eaf254f136073d5b37
Школа № 355,a05ffce54f2c45eaf254f136073d5b37
Школа №355,a05ffce54f2c45eaf254f136073d5b37
"№ 355, школа",a05ffce54f2c45eaf254f136073d5b37
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 538 с углубленным изучением информационных технологий Кировского района Санкт-Петербурга,0383f0162437907f0db5e3a3bdf3a975
ГБОУ СОШ №538,0383f0162437907f0db5e3a3bdf3a975
ГОУ СОШ №538,0383f0162437907f0db5e3a3bdf3a975
Школа № 538,0383f0162437907f0db5e3a3bdf3a975
Школа №538,0383f0162437907f0db5e3a3bdf3a975
"№ 538, школа",0383f0162437907f0db5e3a3bdf3a975
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 570 Невского района Санкт-Петербурга,fd4f2be848f50a99b517a5fc59a87311
ГБОУ СОШ №570,fd4f2be848f50a99b517a5fc59a87311
ГОУ СОШ №570,fd4f2be848f50a99b517a5fc59a87311
Школа № 570,fd4f2be848f50a99b517a5fc59a87311
Школа №570,fd4f2be848f50a99b517a5fc59a87311
"№ 570, школа",fd4f2be848f50a99b517a5fc59a87311
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 365 Фрунзенского района Санкт-Петербурга имени Героя Советского Союза М.П. Краснолуцкого,d163a762ff257a01f0d7ee51043ff54e
ГБОУ СОШ №365,d163a762ff257a01f0d7ee51043ff54e
ГОУ СОШ №365,d163a762ff257a01f0d7ee51043ff54e
Школа № 365,d163a762ff257a01f0d7ee51043ff54e
Школа №365,d163a762ff257a01f0d7ee51043ff54e
"№ 365, школа",d163a762ff257a01f0d7ee51043ff54e
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 494 Выборгского района Санкт-Петербурга,89f3f8e3306a0483deb291e97519d6d7
ГБОУ СОШ №494,89f3f8e3306a0483deb291e97519d6d7
ГОУ СОШ №494,89f3f8e3306a0483deb291e97519d6d7
Школа № 494,89f3f8e3306a0483deb291e97519d6d7
Школа №494,89f3f8e3306a0483deb291e97519d6d7
"№ 494, школа",89f3f8e3306a0483deb291e97519d6d7
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 621 Колпинского района Санкт-Петербурга,ca8ec1e81e65b77418a9145e4bb15065
ГБОУ СОШ №621,ca8ec1e81e65b77418a9145e4bb15065
ГОУ СОШ №621,ca8ec1e81e65b77418a9145e4bb15065
Школа № 621,ca8ec1e81e65b77418a9145e4bb15065
Школа №621,ca8ec1e81e65b77418a9145e4bb15065
"№ 621, школа",ca8ec1e81e65b77418a9145e4bb15065
