name,href,id,area,city_olymp,ege,oge,folk_rating,specialisation,url_id,phones,url,globalid,detector
Вторая Санкт-Петербургская гимназия,../../inostrannyie-yazyiki/vtoraya-sankt-peterburgskaya-gimnaziya/index.html,a3,admiraltejskij,34,66.2,4.3,6.3,Иностранные языки,../data/shkola-spb.ru/cache/inostrannyieyazyikivtorayasanktpeterburgskayagimnaziyaindexhtml.htm,8123156789|8123158532,www.2spbg.ru,0f5fb3aae32ea35c75792c5a41bae565,select_by_phones
"№ 278, гимназия",../../anglijskij-yazyik/278-gimnaziya/index.html,a21,admiraltejskij,15,62.8,4.4,6.8,Английский язык|Немецкий язык,../data/shkola-spb.ru/cache/anglijskijyazyik278gimnaziyaindexhtml.htm,8122514334,gymn278.shkola.hc.ru,056c23764c752e3a3b19f95ea009708a,select_exactly
"№ 263, школа с углубленным изучением английского языка",../../anglijskij-yazyik/263-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a17,admiraltejskij,"",62.4,4.2,8.3,Английский язык|Иностранные языки,../data/shkola-spb.ru/cache/anglijskijyazyik263shkolasuglublennyimizucheniemanglijskogoyazyikaindexhtml.htm,8122521547|8122527595,sc.adm-edu.spb.ru/263,fc0c01cab696387594d0b78c9d2fb714,select_by_number
"№ 307, школа",../../sredneobrazovatelnaya-shkola/307-shkola-bazovaya-shkola-universiteta-ekonomiki-i-finansov-bgtu-i-inzhekon/index.html,a28,admiraltejskij,6,62.0,4.3,5.9,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola307shkolabazovayashkolauniversitetaekonomikiifinansovbgtuiinzhekonindexhtml.htm,8123166992|8123160210|8123164628,xn--307-5cd3cgu2f.xn--p1ai,70ca1dfcaa34f5d825132690047480d2,select_exactly
"№ 281, лицей с углубленным изучением химии",../../himiya/281-litsej-s-uglublennyim-izucheniem-himii/index.html,a23,admiraltejskij,5,61.5,4.1,8.4,Химия,../data/shkola-spb.ru/cache/himiya281litsejsuglublennyimizucheniemhimiiindexhtml.htm,8123161701,www.school281.spb.ru,76713d93c1cf3ffa2908b68998b3f490,select_by_number
"Дипломат, частная школа",../../sredneobrazovatelnaya-shkola/diplomat-chastnaya-shkola/index.html,a33,admiraltejskij,"",59.2,4.0,6.4,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkoladiplomatchastnayashkolaindexhtml.htm,8127140424|8124952978,diplomatschool.ru,2b02ad63159d7b856fd796b2ac7b90f0,not_detected
"№ 564, школа (классы ЛНМО)",../../sredneobrazovatelnaya-shkola/564-shkola/index.html,a30,admiraltejskij,11,59.2,4.0,7.5,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola564shkolaindexhtml.htm,8123165339|8127101475|8123164100,school564.ru,5ac4f061e1041d089afe5ebc8511e779,select_by_number
"№ 306, школа с углубленным изучением английского языка",../../anglijskij-yazyik/306-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a27,admiraltejskij,"",58.8,4.1,5.6,Английский язык|Иностранные языки,../data/shkola-spb.ru/cache/anglijskijyazyik306shkolasuglublennyimizucheniemanglijskogoyazyikaindexhtml.htm,8123161666,sc306.narod.ru,9441cb1857bff3062294930a9761da2a,select_by_number
"№ 272, гимназия",../../sredneobrazovatelnaya-shkola/272-gimnaziya/index.html,a20,admiraltejskij,5,58.7,3.7,6.6,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola272gimnaziyaindexhtml.htm,8122515324|8122511649,www.gymn272.spb.ru,5b560e32227053346f011937d9f2191a,select_by_number
"№ 238, школа с углубленным изучением английского языка",../../anglijskij-yazyik/238-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a9,admiraltejskij,4,57.3,3.9,7.6,Английский язык|Иностранные языки,../data/shkola-spb.ru/cache/anglijskijyazyik238shkolasuglublennyimizucheniemanglijskogoyazyikaindexhtml.htm,8123155338,school238.ru,66fe7ba3c6bb5b1e6a70bd0351a7f0fc,select_by_number
