id,shkolaspbid
2b02ad63159d7b856fd796b2ac7b90f0,a33
2d894f2bc453df41426b4ca93d98b5f7,a37
3fb8d2935dff42c558ac9370b2beebee,a1
b0f323b8caf46d03aa58b657e6c4dc23,a739
b7d74172f1a5c40bacecaf4ea7946de2,a24
baee0f29c204d22d285f07cbdf8a39a2,a703
2d39b5c7e58ff62ca241391822bf4d56,a19
29221d3e6142057b8543c4a2d71bbd37,a39
0ea03d2eb6995812eb75852dec0ca272,a35
708f93dc823416dacae4046c24fa7a80,a40
7f3a1b8b8c995263433b070aa74ae2e9,a799
63ca9a2afb241a29475008995b7a1949,a34
4e41a2fd405e59b3d1d290669a3fff2b,a38
be3d07e6fd8ecb11fb5bcebceceb0fe6,a42
71e917bf5071db65cb251d4928864252,a501
b5aee9e9efad1a548fce6a30ff349f7d,a1097
8330aa94cde8acaaadce6cbdea24daf7,a43
407d0f795084e24214e6f5a99823aa19,a44
1e687ca84dcdb367ad17f385cd66fb2e,a78
5b8ab8b0be2316d6e9a786ec67610e6a,a73
e01824ffdf4a8938f1abc28bd3f02329,a735
ad41f5d10039099ec27cc3543ae02dc8,a736
d9a34993e34fe4f12c08ec70833fda2c,a74
9df66ef745df8054c0e567b687def595,a75
157c6fa26597b31b54d346d416a22eed,a76
80ccd48f98f6d184f9c99b8f5ec9f35e,a765
5e4a7be44616ecd3102b8fb2fb8727af,a1096
450cf352061be3023e3d50943a02ab9f,a1118
1a61207554ae7a207b934a5ce2f37b6e,a136
b4f083a4b7bc06a793b1a6da124e99c8,a137
6d9d8564f7ef3ed8fdda47710906d79d,a140
a06da881cb24457fa4001a22777b2dfa,a743
0092f2c0b82e88a645cd53dc0de538c5,a139
e1d5c1d854bcfc03d389caf685f41911,a141
05e4046baef80ea3d0f735f71a74e007,a98
c4a0dc4510b5a0d43a0991291c52686a,a129
f80d511648c0ba2b48db09626839f352,a192
7213465f9b98c484d4fee9011ec58226,a825
d7abfb03fc64e1541d64bcc6677a4086,a240
e30be8fc71a373c8aaf068f382953bd3,a244
29eb5d1a2fc24da3b20b3fd599b8c7a3,a814
74f0dcb34744483006f7397a06fdbe7f,a225
3393e63f7c1de79fe5ef43d616210738,a241
c02c6da6fc76b4a96fcd299efd2672bc,a209
b22a63499831a5898854a7e324c7a98b,a811
b3f1652ad4f7d0d6d0398146b4cd7ed8,a755
5fecb972874451d0db045a22e613a3ce,a263
56f5d94e9cca4e35c6c8bb13a4278f02,a310
6863ab80ce1765c78dd37acd5d5fc4aa,a738
1bf87642d0aa3f10a8c2629e481fb7e4,a292
eb1c929e87cd064650257a1f3f96215a,a283
498e98027199c7e7c82663edd646d8b7,a767
5b7e3c5916dcf1fd9bdf9540cb7dd0a4,a359
