name,id
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 504 с углубленным изучением английского языка Кировского района Санкт-Петербурга,1027802767300
ГБОУ СОШ №504,1027802767300
ГОУ СОШ №504,1027802767300
Школа № 504,1027802767300
Школа №504,1027802767300
"№ 504, школа",1027802767300
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 368 с углубленным изучением английского языка Фрунзенского района Санкт-Петербурга,1037835024589
ГБОУ СОШ №368,1037835024589
ГОУ СОШ №368 (англ),1037835024589
Школа № 368,1037835024589
Школа №368,1037835024589
"№ 368, школа",1037835024589
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 333 Невского района Санкт-Петербурга,1037825019506
ГБОУ СОШ №333,1037825019506
ГОУ СОШ №333,1037825019506
Школа № 333,1037825019506
Школа №333,1037825019506
"№ 333, школа",1037825019506
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №599 Приморского района Санкт-Петербурга,1027807587323
ГБОУ СОШ №599,1027807587323
ГОУ СОШ №599,1027807587323
Школа № 599,1027807587323
Школа №599,1027807587323
"№ 599, школа",1027807587323
Государственное бюджетное общеобразовательное учреждение школа-интернат №18 Невского района Санкт-Петербурга,1027806082391
ГБОУ Ш-И №18,1027806082391
ГОУ С(К)ОШ-И №18,1027806082391
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №355 Московского района Санкт-Петербурга,1027804894292
ГБОУ СОШ №355,1027804894292
ГОУ СОШ №355,1027804894292
Школа № 355,1027804894292
Школа №355,1027804894292
"№ 355, школа",1027804894292
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 538 с углубленным изучением информационных технологий Кировского района Санкт-Петербурга,1027802740998
ГБОУ СОШ №538,1027802740998
ГОУ СОШ №538,1027802740998
Школа № 538,1027802740998
Школа №538,1027802740998
"№ 538, школа",1027802740998
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 570 Невского района Санкт-Петербурга,1027806075296
ГБОУ СОШ №570,1027806075296
ГОУ СОШ №570,1027806075296
Школа № 570,1027806075296
Школа №570,1027806075296
"№ 570, школа",1027806075296
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 365 Фрунзенского района Санкт-Петербурга имени Героя Советского Союза М.П. Краснолуцкого,1027807992827
ГБОУ СОШ №365,1027807992827
ГОУ СОШ №365,1027807992827
Школа № 365,1027807992827
Школа №365,1027807992827
"№ 365, школа",1027807992827
