name,href,id,area,city_olymp,ege,oge,folk_rating,specialisation,url_id,phones,url
"Дипломат, частная школа",../../sredneobrazovatelnaya-shkola/diplomat-chastnaya-shkola/index.html,a33,admiraltejskij,"",59.2,4.0,6.4,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkoladiplomatchastnayashkolaindexhtml.htm,8127140424|8124952978,diplomatschool.ru
Школа народного искусства Императрицы Александры Федоровны (ШНИ),../../hudozhestvenno-esteticheskoe-obrazovanie/shkola-narodnogo-iskusstva-imperatritsyi-aleksandryi-fedorovnyi/index.html,a37,admiraltejskij,1,56.7,"",0,Художественно-эстетическое образование|Частная школа,../data/shkola-spb.ru/cache/hudozhestvennoesteticheskoeobrazovanieshkolanarodnogoiskusstvaimperatritsyialeksandryifedorovnyiindexhtml.htm,8127140938|8127143040,empresschool.ru
Средняя специальная музыкальная школа имени Н. А. Римского-Корсакова (ССМШ),../../hudozhestvenno-esteticheskoe-obrazovanie/srednyaya-spetsialnaya-muzyikalnaya-shkola-spb-gosudarstvennoj-konservatorii-im-n-a-rimskogo-korsakova-kolledzh/index.html,a1,admiraltejskij,"",56.6,"",0,Художественно-эстетическое образование,../data/shkola-spb.ru/cache/hudozhestvennoesteticheskoeobrazovaniesrednyayaspetsialnayamuzyikalnayashkolaspbgosudarstvennojkonservatoriiimnarimskogokorsakovakolledzhindexhtml.htm,8127141161,x-letka.conservatory.ru
Суворовское военное училище МО РФ (СВУ),../../voennoe-uchilische/suvorovskoe-voennoe-uchilische/index.html,a739,admiraltejskij,"",55.7,4.0,5.0,Кадетские классы,../data/shkola-spb.ru/cache/voennoeuchilischesuvorovskoevoennoeuchilischeindexhtml.htm,8123102406,spbsvu.ru
"№ 286, школа (классы ЛНМО)",../../sredneobrazovatelnaya-shkola/286-shkola/index.html,a24,admiraltejskij,6,54.4,3.8,9.1,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola286shkolaindexhtml.htm,8122511440,school286.ru
"Экспресс, школа экстернат",../../sredneobrazovatelnaya-shkola/ekspress-srednyaya-obscheobrazovatelnaya-shkola/index.html,a703,tsentralnyij,"",52.8,"",7.0,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolaekspresssrednyayaobscheobrazovatelnayashkolaindexhtml.htm,9218560043|9218560083,express-externat.spb.ru
"№ 267, школа",../../sredneobrazovatelnaya-shkola/267-shkola/index.html,a19,admiraltejskij,"",52.5,"",3.8,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola267shkolaindexhtml.htm,8123161622|8123167910,267spb.ru
"ШКОЛА ТЕАТРА, ТЕЛЕВИДЕНИЯ И ШОУ-БИЗНЕСА (ШТТиШБ)",../../drugoe/shkola-teatra-televideniya-i-shou-biznesa/index.html,a39,admiraltejskij,"",52.2,"",8.3,Другое|Частная школа,../data/shkola-spb.ru/cache/drugoeshkolateatratelevideniyaishoubiznesaindexhtml.htm,8123149706|8123257193,www.ttishb.ru
"УСПЕХ, общеобразовательный центр",../../sredneobrazovatelnaya-shkola/uspeh-obscheobrazovatelnyij-tsentr/index.html,a35,admiraltejskij,"",47.1,"",0,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolauspehobscheobrazovatelnyijtsentrindexhtml.htm,8129109051|8124953638,uspex.spb.ru
"ЛОГОС, средняя школа",../../sredneobrazovatelnaya-shkola/logos-srednyaya-shkola/index.html,a40,admiraltejskij,"",47.1,"",9.0,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolalogossrednyayashkolaindexhtml.htm,8125718176|8123102528,school-logos.narod.ru
Колледж при Санкт-Петербургском Университете Управления и Экономики (СПБУУиЭ),../../sredneobrazovatelnaya-shkola/gimnaziya-pri-sankt-peterburgskom-universitete-upravleniya-i-ekonomiki/index.html,a799,admiraltejskij,"",41.8,"",0,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolagimnaziyaprisanktpeterburgskomuniversiteteupravleniyaiekonomikiindexhtml.htm,81231339478123134948|8123133346,www.spbame.ru
Бизнес-школа «ДЕЛОВАЯ ВОЛНА»,../../sredneobrazovatelnaya-shkola/biznes-shkola-delovaya-volna/index.html,a34,primorskij,"","","",5.3,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolabiznesshkoladelovayavolnaindexhtml.htm,8123161283|8123166071|8123402610|8129827602,www.bwschool.ru
ШКОЛА-ПЛЮС,../../sredneobrazovatelnaya-shkola/shkola-plyus/index.html,a38,admiraltejskij,6,"","",0,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolashkolaplyusindexhtml.htm,8127107045,""
Классическая еврейская гимназия-пансион,../../sredneobrazovatelnaya-shkola/klassicheskaya-evrejskaya-gimnaziya-pansion/index.html,a42,admiraltejskij,"","","",0,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolaklassicheskayaevrejskayagimnaziyapansionindexhtml.htm,8127163815|8127108481|8127140743,""
ФРАНЦУЗСКАЯ ШКОЛА АНДРЭ МАЛЬРО в СПб,../../frantsuzskij-yazyik/frantsuzskaya-shkola-andre-malro-v-spb/index.html,a501,admiraltejskij,"","","",4.1,Другое|Французский язык|Частная школа,../data/shkola-spb.ru/cache/frantsuzskijyazyikfrantsuzskayashkolaandremalrovspbindexhtml.htm,8124980502,efsp.org
"№ 231, специальная (коррекционная) школа (VIII вида)",../../deti-s-osobennostyami-razvitiya/-231-spetsialnaya-korrektsionnaya-shkola-viii-vida/index.html,a1097,admiraltejskij,"","","",7.8,Дети с особенностями развития,../data/shkola-spb.ru/cache/detisosobennostyamirazvitiya231spetsialnayakorrektsionnayashkolaviiividaindexhtml.htm,8124172328,spb231.reg-school.ru
Академическая гимназия СПбГУ,../../biologiya/akademicheskaya-gimnaziya-sankt-peterburgskogo-gosudarstvennogo-universiteta-43/index.html,a43,petrodvortsovyij,70,68.4,"",8.9,Биология|Математика|Физика|Химия,../data/shkola-spb.ru/cache/biologiyaakademicheskayagimnaziyasanktpeterburgskogogosudarstvennogouniversiteta43indexhtml.htm,8123225312|8123225311|8124506990|8124506500,www.agym.spbu.ru
"№ 700, школа с углубленным изучением иностранных языков",../../inostrannyie-yazyiki/700-shkola-s-uglublennyim-izucheniem-inostrannyih-yazyikov/index.html,a72,vasileostrovskij,1,58.8,"",7.4,Иностранные языки,../data/shkola-spb.ru/cache/inostrannyieyazyiki700shkolasuglublennyimizuchenieminostrannyihyazyikovindexhtml.htm,8123284381|8123284343,school700.edu.ru
Санкт-Петербургский государственный академический художественный лицей им. Б.В.Иогансона,../../hudozhestvenno-esteticheskoe-obrazovanie/sankt-peterburgskij-gosudarstvennyij-akademicheskij-hudozhestvennyij-litsej-im-b-v-iogansona-rossijskoj-akademii-hudozhestv/index.html,a44,vasileostrovskij,3,58.5,"",5.4,Художественно-эстетическое образование,../data/shkola-spb.ru/cache/hudozhestvennoesteticheskoeobrazovaniesanktpeterburgskijgosudarstvennyijakademicheskijhudozhestvennyijlitsejimbviogansonarossijskojakademiihudozhestvindexhtml.htm,8123224039|8123220381,www.artlicei.ru
"Центр Искусства Воспитания, вальдорфская школа",../../sredneobrazovatelnaya-shkola/tsentr-iskusstva-vospitaniya-valdorfskaya-shkola/index.html,a78,vasileostrovskij,1,54.2,"",6.7,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolatsentriskusstvavospitaniyavaldorfskayashkolaindexhtml.htm,8123509186|8123509086,www.ziwspb.ru
"Ювента, частная школа",../../sredneobrazovatelnaya-shkola/yuventa-shkola/index.html,a73,vasileostrovskij,"",53.5,"",5.2,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolayuventashkolaindexhtml.htm,8123232849,www.nwedu.ru
"№ 575, центр образования",../../sredneobrazovatelnaya-shkola/575-shkola/index.html,a735,vasileostrovskij,"",41.9,"",8.1,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola575shkolaindexhtml.htm,8123217541|8123217575,school-575.ru
Радиотехнический профессиональный лицей,../../drugoe/radiotehnicheskij-professionalnyij-litsej/index.html,a736,vasileostrovskij,"",39.9,"",0,Другое,../data/shkola-spb.ru/cache/drugoeradiotehnicheskijprofessionalnyijlitsejindexhtml.htm,8123502763|8124058559,www.rtplspb.ru
"Человечек, школа - детский сад",../../nachalnaya-shkola/chelovechek-shkola-detskij-sad/index.html,a74,vasileostrovskij,"","","",8.6,Начальная школа|Частная школа,../data/shkola-spb.ru/cache/nachalnayashkolachelovechekshkoladetskijsadindexhtml.htm,8123219567|8123293186,chelovechek.info
"АСПЕКТ, частная британская школа",../../nachalnaya-shkola/aspekt/index.html,a75,vasileostrovskij,"","","",6.3,Начальная школа|Частная школа,../data/shkola-spb.ru/cache/nachalnayashkolaaspektindexhtml.htm,8123233497|9217456761|9214493000,ilaaspect.com/britanskaya-shkola-os
ИЗЮМИНКА,../../nachalnaya-shkola/izyuminka/index.html,a76,vasileostrovskij,"","","",6.8,Начальная школа|Частная школа,../data/shkola-spb.ru/cache/nachalnayashkolaizyuminkaindexhtml.htm,8129718554,www.izuminkaspb.ru
Православная школа семьи Шостаковичей,../../drugoe/pravoslavnaya-shkola-semi-shostakovichej/index.html,a765,vasileostrovskij,"","","",7.1,Другое|Частная школа,../data/shkola-spb.ru/cache/drugoepravoslavnayashkolasemishostakovichejindexhtml.htm,8122441103,www.pravoslav.com
Школа им. С. Т. Шацкого,../../chastnaya-shkola/shkola-im-stshatskogo/index.html,a1096,vasileostrovskij,"","","",9.6,Частная школа,../data/shkola-spb.ru/cache/chastnayashkolashkolaimstshatskogoindexhtml.htm,8123293186|8123219567,www.shatsky-school.ru
Немецкая школа при Генеральном консульстве Германии,../../nemetskij-yazyik/nemetskaya-shkola-pri-generalnom-konsulstve-germanii/index.html,a1118,vasileostrovskij,"","","",0,Немецкий язык,../data/shkola-spb.ru/cache/nemetskijyazyiknemetskayashkolaprigeneralnomkonsulstvegermaniiindexhtml.htm,8124412159,www.deutscheschule.ru
Медицинская Гимназия с православным воспитанием детей,../../biologiya/meditsinskaya-gimnaziya-s-pravoslavnyim-vospitaniem-detej/index.html,a136,vyiborgskij,3,65.9,"",6.9,Биология|Другое|Медицина|Химия|Частная школа,../data/shkola-spb.ru/cache/biologiyameditsinskayagimnaziyaspravoslavnyimvospitaniemdetejindexhtml.htm,8122915334,www.med-gimnazia.ru
