name,ogrn
Государственное бюджетное общеобразовательное учреждение школа-интернат №18 Невского района Санкт-Петербурга,1027806082391
ГБОУ Ш-И №18,1027806082391
ГОУ С(К)ОШ-И №18,1027806082391
Государственное бюджетное общеобразовательное учреждение школа № 54 Красносельского района Санкт-Петербурга,1157847167840
ГБОУ СОШ №54,1157847167840
Школа № 54,1157847167840
Школа №54,1157847167840
"№ 54, школа",1157847167840
Государственное бюджетное общеобразовательное учреждение школа №153 Фрунзенского района Санкт-Петербурга,1027807992761
ГБОУ СОШ №153,1027807992761
ГОУ ВСОШ №153,1027807992761
Школа № 153,1027807992761
Школа №153,1027807992761
"№ 153, школа",1027807992761
Государственное бюджетное общеобразовательное учреждение школа-интернат № 2 Адмиралтейского района Санкт-Петербурга,1027810346739
ГБС(К) ОУ инт №2,1027810346739
ГОУ СК №2 инт,1027810346739
Государственное бюджетное общеобразовательное учреждение школа-интернат № 2 Кировского района Санкт-Петербурга,1027802738413
ГБОУ школа-интернат №2,1027802738413
ГС(К)ОУ инт.№2 (IV вида),1027802738413
"Государственное бюджетное нетиповое образовательное учреждение центр психолого-педагогической, медицинской и социальной помощи Красногвардейского района Санкт-Петербурга ""Школа здоровья и индивидуального развития""",1057812376720
"ГБНОУ ""Школа здоровья и индивидуального развития""",1057812376720
ГОУ ЦЛПиДО,1057812376720
Государственное бюджетное общеобразовательное учреждение общеобразовательная школа № 220 Калининского района Санкт-Петербурга,1177847375562
ГБОУ ОШ №220,1177847375562
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 133 с углубленным изучением иностранных языков Красногвардейского района Санкт-Петербурга,1037816030966
ГБОУ СОШ №133,1037816030966
ГОУ СОШ №133(франц),1037816030966
Школа № 133,1037816030966
Школа №133,1037816030966
"№ 133, школа",1037816030966
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 80 с углубленным изучением английского языка Петроградского района Санкт-Петербурга,1027806887668
ГБОУ СОШ №80,1027806887668
ГОУ СОШ №80 (англ.),1027806887668
Школа № 80,1027806887668
Школа №80,1027806887668
"№ 80, школа",1027806887668
"Государственное бюджетное учреждение дополнительного образования ""Детский творческий центр ""Театральная Семья"" Невского района Санкт-Петербурга",1037825025776
"ГБУ ДО ДТЦ ""Театральная Семья""",1037825025776
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 1 с углубленным изучением английского языка Московского района Санкт-Петербурга,1037821026429
ГБОУ СОШ №1,1037821026429
Школа № 1,1037821026429
Школа №1,1037821026429
"№ 1, школа",1037821026429
Государственное бюджетное общеобразовательное учреждение школа №3 Красногвардейского района Санкт-Петербурга,1027804187905
ГБОУ №3,1027804187905
ГС (К) ОУ №3,1027804187905
"Санкт-Петербургское государственное бюджетное нетиповое образовательное учреждение ""Лицей искусств ""Санкт-Петербург""",1037819004728
"СПб ГБНОУ ""Лицей искусств""",1037819004728
Государственное бюджетное учреждение дополнительного образования Центр детского (юношеского) технического творчества Колпинского района Санкт-Петербурга,1117847435111
ГБУ ДО ЦД(Ю)ТТ,1117847435111
Государственное бюджетное общеобразовательное учреждение школа № 69 Курортного района Санкт-Петербурга,1117847074190
ГБОУ школа №69,1117847074190
Государственное бюджетное общеобразовательное учреждение школа № 6 Выборгского района Санкт-Петербурга,1027801541602
ГБОУ №006,1027801541602
ГС(К)ОУ СОШ №006,1027801541602
Государственное бюджетное общеобразовательное учреждение школа-интернат Курортного района Санкт-Петербурга «Олимпийский резерв»,1027812404058
ГБОУ ШИ,1027812404058
ГОШИОР,1027812404058
Государственное бюджетное общеобразовательное учреждение Центр образования №133 Невского района Санкт-Петербурга,1037825010123
ГБОУ ЦО №133,1037825010123
ГОУ ЦО №133,1037825010123
Государственное бюджетное общеобразовательное учреждение школа-интернат № 10 Колпинского района Санкт-Петербурга,1027808757855
ГБОУ школа-инт №10,1027808757855
ГСКОУ школа-инт №10,1027808757855
Государственное бюджетное общеобразовательное учреждение Центр образования №80 Центрального района Санкт-Петербурга,1047844001446
ГБОУ ЦО №80,1047844001446
ГОУ ЦО №80,1047844001446
"Государственное бюджетное учреждение дополнительного образования Центр психолого-педагогической, медицинской и социальной помощи Невского района Санкт-Петербурга",1037825011003
ГБУ ДО ЦППМСП Невского района,1037825011003
Государственное бюджетное учреждение дополнительного образования Дом детского творчества Приморского района Санкт-Петербурга,1027807588160
ДО при ГБУ ДО ДДТ,1027807588160
"Государственное бюджетное учреждение дополнительного образования Дом детского творчества ""Юность"" Выборгского района Санкт-Петербурга",1027801582258
"ГБУ ДО ДДТ ""Юность""",1027801582258
"Частное общеобразовательное учреждение ""Немецкая гимназия ""Петершуле""",1037816006975
ЧОУ Гимназия Петершуле,1037816006975
Государственное бюджетное общеобразовательное учреждение школа-интернат № 67 Пушкинского района Санкт-Петербурга,1027809009084
ГБОУ СКШИ№67,1027809009084
ГОУ СКШИ №67,1027809009084
Государственное бюджетное общеобразовательное учреждение школа №3 Петроградского района Санкт-Петербурга,1027806893047
ГБОУ школа №3,1027806893047
Государственное бюджетное учреждение дополнительного образования Дворец творчества детей и молодежи Колпинского района Санкт-Петербурга,1027808758691
ГБУ ДО ДТДиМ,1027808758691
"Государственное бюджетное учреждение дополнительного образования Дом творчества ""Измайловский"" Адмиралтейского района Санкт-Петербурга",1027810359730
"ГБУ ДО ДТ ""Измайловский""",1027810359730
"Государственное бюджетное учреждение дополнительного профессионального педагогического образования центр повышения квалификации специалистов ""Информационно-методический Центр"" Адмиралтейского района Санкт-Петербурга",1027810304345
ГБУ ДППО ЦПКС ИМЦ Адмиралтейского района,1027810304345
"Государственное бюджетное учреждение дополнительного образования Дом детского творчества ""Олимп"" Выборгского района Санкт-Петербурга",1027801582214
"ГБУ ДО ДДТ ""Олимп""",1027801582214
"Государственное бюджетное учреждение дополнительного образования Центр психолого-педагогической, медицинской и социальной помощи Приморского района Санкт-Петербурга",1027807582824
ГБУ ДО ЦППМСП Приморского района,1027807582824
"Государственное бюджетное учреждение дополнительного образования Дворец творчества ""У Вознесенского моста"" Адмиралтейского района Санкт-Петербурга",1037851016070
"ГБУ ДО ДТ ""У Вознесенского моста""",1037851016070
"Государственное бюджетное учреждение дополнительного образования Центр детского (юношеского) технического творчества ""Старт+"" Невского района Санкт-Петербурга",1117847036702
"ГБУ ДО ЦД(Ю)ТТ ""Старт+""",1117847036702
Государственное бюджетное общеобразовательное учреждение школа № 657 Приморского района Санкт-Петербурга,1027807587829
ГБОУ школа №657,1027807587829
ГС(К)ОУ №657 (VIII вида),1027807587829
Государственное бюджетное общеобразовательное учреждение школа № 502 Кировского района Санкт-Петербурга,1027802729195
ГБОУ №502,1027802729195
ГС(К)ОУ №502,1027802729195
"Государственное бюджетное общеобразовательное учреждение школа № 755 ""Региональный Центр аутизма"" Василеостровского района Санкт-Петербурга",1167847307176
ГБОУ школа №755,1167847307176
Государственное бюджетное общеобразовательное учреждение школа-интернат № 31 Невского района Санкт-Петербурга,1027806075769
ГБОУ Ш-И №31,1027806075769
ГОУ С(К)ОШ-И №31,1027806075769
Государственное бюджетное общеобразовательное учреждение школа №34 Невского района Санкт-Петербурга,1027806084790
ГБОУ С(К)ОШ №34,1027806084790
ГОУ С(К)ОШ №34,1027806084790
Государственное бюджетное общеобразовательное учреждение школа-интернат №37 Фрунзенского района Санкт-Петербурга,1027807997722
ГБСКОУ №37,1027807997722
"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Училище олимпийского резерва №1""",1027802519370
"СПб ГБПОУ ""УОР №1""",1027802519370
Государственное бюджетное общеобразовательное учреждение школа № 5 Адмиралтейского района Санкт-Петербурга,1027810298988
ГБОУ № 5,1027810298988
ГС(К)ОУ (V вида) №5,1027810298988
"Государственное бюджетное общеобразовательное учреждение школа № 46 Калининского района Санкт-Петербурга ""Центр Реабилитации и Милосердия""",1027802516334
ГБОУ №46,1027802516334
ГСОУ №46,1027802516334
"Частное общеобразовательное учреждение ""Школа экономики и права""",1027804597765
ЧОУ ШЭиП,1027804597765
"Частное общеобразовательное учреждение ""Гимназия имени Александра Невского""",1037816004126
"ЧОУ ""Гимназия имени Александра Невского""",1037816004126
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №10 с углубленным изучением химии Василеостровского района Санкт-Петербурга,1027800546795
ГБОУ СОШ №10,1027800546795
ГОУ СОШ №10 (химия),1027800546795
Школа № 10,1027800546795
Школа №10,1027800546795
"№ 10, школа",1027800546795
"Государственное бюджетное учреждение дополнительного образования Центр психолого-педагогической, медицинской и социальной помощи Выборгского района Санкт-Петербурга",1027801582401
ГБУ ДО ЦППМСП Выборгского района,1027801582401
"Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №8 с углублённым изучением предметов музыкального цикла ""Музыка"" Фрунзенского района Санкт-Петербурга",1027807997051
ГБОУ СОШ №8,1027807997051
ГОУ СОШ №8,1027807997051
Школа № 8,1027807997051
Школа №8,1027807997051
"№ 8, школа",1027807997051
Государственное бюджетное общеобразовательное учреждение школа №656 Курортного района Санкт-Петербурга,1027812400923
ГБОУ школа №656,1027812400923
ГСКОУ (VIIвида) №656,1027812400923
"Автономная некоммерческая организация общеобразовательная ""Санкт-Петербургская международная школа""",1027804602132
"АНО ""СПбМШ""",1027804602132
Государственное бюджетное общеобразовательное учреждение школа-интернат № 20 Петроградского района Санкт-Петербурга,1037828000980
ГБОУШИ №20,1037828000980
ГОУСКШИ №20,1037828000980
Государственное бюджетное общеобразовательное учреждение школа-интернат № 8 Пушкинского района Санкт-Петербурга,1027809009997
ГБОУ школа-интернат №8,1027809009997
ГОУ СКОШ-инт №8,1027809009997
"Государственное бюджетное учреждение дополнительного образования Дом детского творчества ""Современник"" Выборгского района Санкт-Петербурга",1027801582236
"ГБУ ДО ДДТ ""Современник""",1027801582236
Государственное бюджетное общеобразовательное учреждение школа № 18 Центрального района Санкт-Петербурга,1027809248807
ГБОУ №18,1027809248807
ГСКОУ №18,1027809248807
Государственное бюджетное общеобразовательное учреждение Морская школа Московского района Санкт-Петербурга,1027804895051
ГБОУ Морская школа,1027804895051
ГОУ ЦО №2,1027804895051
"Государственное бюджетное учреждение дополнительного образования ""Правобережный дом детского творчества"" Невского района Санкт-Петербурга",1037825006075
"ГБУ ДО ""ПДДТ""",1037825006075
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 46 с углубленным изучением английского языка Приморского района Санкт-Петербурга,1027807584133
ГБОУ СОШ №46,1027807584133
ГОУ СОШ №46 (англ),1027807584133
Школа № 46,1027807584133
Школа №46,1027807584133
"№ 46, школа",1027807584133
Государственное бюджетное общеобразовательное учреждение школа № 4 Василеостровского района Санкт - Петербурга,1037800060770
ГБСОУ №4,1037800060770
ГС(К)ОУ №4,1037800060770
Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №153 Центрального района Санкт-Петербурга имени Героя Российской Федерации В.В.Таташвили,1027809254593
ГБОУ СОШ №153,1027809254593
ГОУ СОШ №153,1027809254593
Школа № 153,1027809254593
Школа №153,1027809254593
"№ 153, школа",1027809254593
"Государственное бюджетное учреждение дополнительного профессионального педагогического образования центр повышения квалификации специалистов ""Информационно-методический центр"" Колпинского района Санкт-Петербурга",1027808761804
