name,href,id,area,city_olymp,ege,oge,folk_rating,specialisation,url_id,phones,url
Вторая Санкт-Петербургская гимназия,../../inostrannyie-yazyiki/vtoraya-sankt-peterburgskaya-gimnaziya/index.html,a3,admiraltejskij,34,66.2,4.3,6.3,Иностранные языки,../data/shkola-spb.ru/cache/inostrannyieyazyikivtorayasanktpeterburgskayagimnaziyaindexhtml.htm,8123156789|8123158532,www.2spbg.ru
"№ 278, гимназия",../../anglijskij-yazyik/278-gimnaziya/index.html,a21,admiraltejskij,15,62.8,4.4,6.8,Английский язык|Немецкий язык,../data/shkola-spb.ru/cache/anglijskijyazyik278gimnaziyaindexhtml.htm,8122514334,gymn278.shkola.hc.ru
"№ 263, школа с углубленным изучением английского языка",../../anglijskij-yazyik/263-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a17,admiraltejskij,"",62.4,4.2,8.3,Английский язык|Иностранные языки,../data/shkola-spb.ru/cache/anglijskijyazyik263shkolasuglublennyimizucheniemanglijskogoyazyikaindexhtml.htm,8122521547|8122527595,sc.adm-edu.spb.ru/263
"№ 307, школа",../../sredneobrazovatelnaya-shkola/307-shkola-bazovaya-shkola-universiteta-ekonomiki-i-finansov-bgtu-i-inzhekon/index.html,a28,admiraltejskij,6,62.0,4.3,5.9,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola307shkolabazovayashkolauniversitetaekonomikiifinansovbgtuiinzhekonindexhtml.htm,8123166992|8123160210|8123164628,xn--307-5cd3cgu2f.xn--p1ai
"№ 281, лицей с углубленным изучением химии",../../himiya/281-litsej-s-uglublennyim-izucheniem-himii/index.html,a23,admiraltejskij,5,61.5,4.1,8.4,Химия,../data/shkola-spb.ru/cache/himiya281litsejsuglublennyimizucheniemhimiiindexhtml.htm,8123161701,www.school281.spb.ru
"Дипломат, частная школа",../../sredneobrazovatelnaya-shkola/diplomat-chastnaya-shkola/index.html,a33,admiraltejskij,"",59.2,4.0,6.4,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkoladiplomatchastnayashkolaindexhtml.htm,8127140424|8124952978,diplomatschool.ru
"№ 564, школа (классы ЛНМО)",../../sredneobrazovatelnaya-shkola/564-shkola/index.html,a30,admiraltejskij,11,59.2,4.0,7.5,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola564shkolaindexhtml.htm,8123165339|8127101475|8123164100,school564.ru
"№ 306, школа с углубленным изучением английского языка",../../anglijskij-yazyik/306-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a27,admiraltejskij,"",58.8,4.1,5.6,Английский язык|Иностранные языки,../data/shkola-spb.ru/cache/anglijskijyazyik306shkolasuglublennyimizucheniemanglijskogoyazyikaindexhtml.htm,8123161666,sc306.narod.ru
"№ 272, гимназия",../../sredneobrazovatelnaya-shkola/272-gimnaziya/index.html,a20,admiraltejskij,5,58.7,3.7,6.6,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola272gimnaziyaindexhtml.htm,8122515324|8122511649,www.gymn272.spb.ru
"№ 238, школа с углубленным изучением английского языка",../../anglijskij-yazyik/238-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a9,admiraltejskij,4,57.3,3.9,7.6,Английский язык|Иностранные языки,../data/shkola-spb.ru/cache/anglijskijyazyik238shkolasuglublennyimizucheniemanglijskogoyazyikaindexhtml.htm,8123155338,school238.ru
Школа народного искусства Императрицы Александры Федоровны (ШНИ),../../hudozhestvenno-esteticheskoe-obrazovanie/shkola-narodnogo-iskusstva-imperatritsyi-aleksandryi-fedorovnyi/index.html,a37,admiraltejskij,1,56.7,"",0,Художественно-эстетическое образование|Частная школа,../data/shkola-spb.ru/cache/hudozhestvennoesteticheskoeobrazovanieshkolanarodnogoiskusstvaimperatritsyialeksandryifedorovnyiindexhtml.htm,8127140938|8127143040,empresschool.ru
Средняя специальная музыкальная школа имени Н. А. Римского-Корсакова (ССМШ),../../hudozhestvenno-esteticheskoe-obrazovanie/srednyaya-spetsialnaya-muzyikalnaya-shkola-spb-gosudarstvennoj-konservatorii-im-n-a-rimskogo-korsakova-kolledzh/index.html,a1,admiraltejskij,"",56.6,"",0,Художественно-эстетическое образование,../data/shkola-spb.ru/cache/hudozhestvennoesteticheskoeobrazovaniesrednyayaspetsialnayamuzyikalnayashkolaspbgosudarstvennojkonservatoriiimnarimskogokorsakovakolledzhindexhtml.htm,8127141161,x-letka.conservatory.ru
"№ 232, школа",../../sredneobrazovatelnaya-shkola/232-shkola/index.html,a6,admiraltejskij,6,56.4,3.8,5.7,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola232shkolaindexhtml.htm,8127141943|8127145350,www.232spb.ru
"№ 234, школа",../../sredneobrazovatelnaya-shkola/234-shkola/index.html,a7,admiraltejskij,1,56.2,3.6,6.0,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola234shkolaindexhtml.htm,8127142752|8127142353|8127145144,sc.adm-edu.spb.ru/234
Суворовское военное училище МО РФ (СВУ),../../voennoe-uchilische/suvorovskoe-voennoe-uchilische/index.html,a739,admiraltejskij,"",55.7,4.0,5.0,Кадетские классы,../data/shkola-spb.ru/cache/voennoeuchilischesuvorovskoevoennoeuchilischeindexhtml.htm,8123102406,spbsvu.ru
"№ 266, школа с углубленным изучением французского языка",../../frantsuzskij-yazyik/266-shkola-s-uglublennyim-izucheniem-frantsuzskogo-yazyika/index.html,a18,admiraltejskij,"",55.5,3.8,7.5,Французский язык,../data/shkola-spb.ru/cache/frantsuzskijyazyik266shkolasuglublennyimizucheniemfrantsuzskogoyazyikaindexhtml.htm,8123160865|8125750405,school266spb.edurf.ru
"№ 243, школа",../../sredneobrazovatelnaya-shkola/243-shkola/index.html,a11,admiraltejskij,1,54.7,3.5,5.8,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola243shkolaindexhtml.htm,8125702841,www.spb243.ru
"№ 286, школа (классы ЛНМО)",../../sredneobrazovatelnaya-shkola/286-shkola/index.html,a24,admiraltejskij,6,54.4,3.8,9.1,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola286shkolaindexhtml.htm,8122511440,school286.ru
"№ 229, школа",../../sredneobrazovatelnaya-shkola/229-litsej/index.html,a5,admiraltejskij,1,53.8,3.5,4.8,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola229litsejindexhtml.htm,8123106869|8123106692,www.licey229.ru
"№ 241, школа",../../sredneobrazovatelnaya-shkola/241-shkola/index.html,a10,admiraltejskij,1,53.4,3.7,6.8,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola241shkolaindexhtml.htm,8123149380|8123148842,https://sites.google.com/site/skola241
"Экспресс, школа экстернат",../../sredneobrazovatelnaya-shkola/ekspress-srednyaya-obscheobrazovatelnaya-shkola/index.html,a703,tsentralnyij,"",52.8,"",7.0,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolaekspresssrednyayaobscheobrazovatelnayashkolaindexhtml.htm,9218560043|9218560083,express-externat.spb.ru
"№ 280, школа имени М. Ю. Лермонтова",../../sredneobrazovatelnaya-shkola/280-shkola-imeni-m-yu-lermontova/index.html,a22,admiraltejskij,5,52.8,"",8.3,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola280shkolaimenimyulermontovaindexhtml.htm,8122511415|8124173354,school280.ru
"№ 225, школа",../../sredneobrazovatelnaya-shkola/225-shkola/index.html,a4,admiraltejskij,1,52.7,3.0,6.7,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola225shkolaindexhtml.htm,8123125473|8123125268,www.225school.ru
"№ 256, школа",../../sredneobrazovatelnaya-shkola/256-shkola/index.html,a14,admiraltejskij,"",52.6,3.7,5.8,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola256shkolaindexhtml.htm,8123123907|8123102259,sc.adm-edu.spb.ru/256
"№ 267, школа",../../sredneobrazovatelnaya-shkola/267-shkola/index.html,a19,admiraltejskij,"",52.5,"",3.8,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola267shkolaindexhtml.htm,8123161622|8123167910,267spb.ru
"ШКОЛА ТЕАТРА, ТЕЛЕВИДЕНИЯ И ШОУ-БИЗНЕСА (ШТТиШБ)",../../drugoe/shkola-teatra-televideniya-i-shou-biznesa/index.html,a39,admiraltejskij,"",52.2,"",8.3,Другое|Частная школа,../data/shkola-spb.ru/cache/drugoeshkolateatratelevideniyaishoubiznesaindexhtml.htm,8123149706|8123257193,www.ttishb.ru
"№ 255, школа - отделение дополнительного образования «Школа-творчество»",../../drugoe/255-shkola-otdelenie-dopolnitelnogo-obrazovaniya-shkola-tvorchestvo/index.html,a13,admiraltejskij,"",51.0,3.9,8.5,Другое,../data/shkola-spb.ru/cache/drugoe255shkolaotdeleniedopolnitelnogoobrazovaniyashkolatvorchestvoindexhtml.htm,8123128007|8123148404,school255.spb.ru
